,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus,target
cs_base_day_current_year,-0.00306302,0.0133273,0.113254,0.0294005,-0.464002,-0.0470165,0.00302833,-0.00474362,-0.108373,0.00987884,1,0.0117734,0.00262223,-0.0077408,-0.096853,-0.0182866,0.69735,0.0282504,0.00262223,-0.0077408,-0.096853,-0.0182866,0.69735,0.0282504,-0.00306302,0.0133273,0.113254,0.0294005,-0.464002,-0.0470165,-0.00306302,0.0133273,0.113254,0.0294005,-0.464002,-0.0470165,-0.293381
cs_base_day_current_month_minus,-0.0032526,-0.0022232,-0.00418678,-0.15696,-0.0174319,-0.505503,0.00461292,0.0073696,0.00517643,-0.0123918,0.0117734,1,0.00247647,0.0093055,0.00425993,0.107234,-0.00683762,0.658897,0.00247647,0.0093055,0.00425993,0.107234,-0.00683762,0.658897,-0.0032526,-0.0022232,-0.00418678,-0.15696,-0.0174319,-0.505503,-0.0032526,-0.0022232,-0.00418678,-0.15696,-0.0174319,-0.505503,-0.0234158
cs_base_hour_minus_current_hour,-0.705162,0.000911419,0.163584,0.000732074,-0.0029031,-0.00340827,0.677112,-0.000946274,0.107632,0.000871774,0.00262223,0.00247647,1,-0.000520968,0.00892325,0.00222301,-0.00273142,0.00282064,1,-0.000520968,0.00892325,0.00222301,-0.00273142,0.00282064,-0.705162,0.000911419,0.163584,0.000732074,-0.0029031,-0.00340827,-0.705162,0.000911419,0.163584,0.000732074,-0.0029031,-0.00340827,-0.00695277
cs_base_hour_minus_current_day,0.00102887,-0.692957,-0.000413351,-0.00666993,0.000502478,0.00434628,-0.00117729,0.664391,-0.000795518,0.0080191,-0.0077408,0.0093055,-0.000520968,1,-0.000873886,0.00361689,-0.0073329,-0.00354419,-0.000520968,1,-0.000873886,0.00361689,-0.0073329,-0.00354419,0.00102887,-0.692957,-0.000413351,-0.00666993,0.000502478,0.00434628,0.00102887,-0.692957,-0.000413351,-0.00666993,0.000502478,0.00434628,0.000264592
cs_base_hour_minus_current_hour_minus,0.0797508,0.000253706,-0.684621,0.00577691,0.132367,-0.00493171,0.270779,-0.00202993,0.646238,-0.00441801,-0.096853,0.00425993,0.00892325,-0.000873886,1,-0.000695181,-0.109145,0.00786527,0.00892325,-0.000873886,1,-0.000695181,-0.109145,0.00786527,0.0797508,0.000253706,-0.684621,0.00577691,0.132367,-0.00493171,0.0797508,0.000253706,-0.684621,0.00577691,0.132367,-0.00493171,-0.00107677
cs_base_hour_minus_current_month,-0.00170666,0.000286634,-5.79293e-05,-0.687914,-0.019339,-0.0345084,0.00116275,-0.00331704,-0.00262002,0.669773,-0.0182866,0.107234,0.00222301,0.00361689,-0.000695181,1,0.0230925,-0.0146024,0.00222301,0.00361689,-0.000695181,1,0.0230925,-0.0146024,-0.00170666,0.000286634,-5.79293e-05,-0.687914,-0.019339,-0.0345084,-0.00170666,0.000286634,-5.79293e-05,-0.687914,-0.019339,-0.0345084,0.0158504
cs_base_hour_minus_current_year,0.00571884,0.0111192,0.115698,-0.0104105,-0.645582,-0.0581562,-0.00202732,-0.00314758,-0.126586,0.0612339,0.69735,-0.00683762,-0.00273142,-0.0073329,-0.109145,0.0230925,1,-0.0176494,-0.00273142,-0.0073329,-0.109145,0.0230925,1,-0.0176494,0.00571884,0.0111192,0.115698,-0.0104105,-0.645582,-0.0581562,0.00571884,0.0111192,0.115698,-0.0104105,-0.645582,-0.0581562,-0.132226
cs_base_hour_minus_current_month_minus,-0.00429734,-0.00644753,-0.00684502,0.0206641,-0.0155651,-0.696325,0.00492082,-0.00413484,0.00967571,0.112881,0.0282504,0.658897,0.00282064,-0.00354419,0.00786527,-0.0146024,-0.0176494,1,0.00282064,-0.00354419,0.00786527,-0.0146024,-0.0176494,1,-0.00429734,-0.00644753,-0.00684502,0.0206641,-0.0155651,-0.696325,-0.00429734,-0.00644753,-0.00684502,0.0206641,-0.0155651,-0.696325,-0.0672456
cs_base_month_current_hour,-0.705162,0.000911419,0.163584,0.000732074,-0.0029031,-0.00340827,0.677112,-0.000946274,0.107632,0.000871774,0.00262223,0.00247647,1,-0.000520968,0.00892325,0.00222301,-0.00273142,0.00282064,1,-0.000520968,0.00892325,0.00222301,-0.00273142,0.00282064,-0.705162,0.000911419,0.163584,0.000732074,-0.0029031,-0.00340827,-0.705162,0.000911419,0.163584,0.000732074,-0.0029031,-0.00340827,-0.00695277
cs_base_month_current_day,0.00102887,-0.692957,-0.000413351,-0.00666993,0.000502478,0.00434628,-0.00117729,0.664391,-0.000795518,0.0080191,-0.0077408,0.0093055,-0.000520968,1,-0.000873886,0.00361689,-0.0073329,-0.00354419,-0.000520968,1,-0.000873886,0.00361689,-0.0073329,-0.00354419,0.00102887,-0.692957,-0.000413351,-0.00666993,0.000502478,0.00434628,0.00102887,-0.692957,-0.000413351,-0.00666993,0.000502478,0.00434628,0.000264592
cs_base_month_current_hour_minus,0.0797508,0.000253706,-0.684621,0.00577691,0.132367,-0.00493171,0.270779,-0.00202993,0.646238,-0.00441801,-0.096853,0.00425993,0.00892325,-0.000873886,1,-0.000695181,-0.109145,0.00786527,0.00892325,-0.000873886,1,-0.000695181,-0.109145,0.00786527,0.0797508,0.000253706,-0.684621,0.00577691,0.132367,-0.00493171,0.0797508,0.000253706,-0.684621,0.00577691,0.132367,-0.00493171,-0.00107677
cs_base_month_current_month,-0.00170666,0.000286634,-5.79293e-05,-0.687914,-0.019339,-0.0345084,0.00116275,-0.00331704,-0.00262002,0.669773,-0.0182866,0.107234,0.00222301,0.00361689,-0.000695181,1,0.0230925,-0.0146024,0.00222301,0.00361689,-0.000695181,1,0.0230925,-0.0146024,-0.00170666,0.000286634,-5.79293e-05,-0.687914,-0.019339,-0.0345084,-0.00170666,0.000286634,-5.79293e-05,-0.687914,-0.019339,-0.0345084,0.0158504
cs_base_month_current_year,0.00571884,0.0111192,0.115698,-0.0104105,-0.645582,-0.0581562,-0.00202732,-0.00314758,-0.126586,0.0612339,0.69735,-0.00683762,-0.00273142,-0.0073329,-0.109145,0.0230925,1,-0.0176494,-0.00273142,-0.0073329,-0.109145,0.0230925,1,-0.0176494,0.00571884,0.0111192,0.115698,-0.0104105,-0.645582,-0.0581562,0.00571884,0.0111192,0.115698,-0.0104105,-0.645582,-0.0581562,-0.132226
cs_base_month_current_month_minus,-0.00429734,-0.00644753,-0.00684502,0.0206641,-0.0155651,-0.696325,0.00492082,-0.00413484,0.00967571,0.112881,0.0282504,0.658897,0.00282064,-0.00354419,0.00786527,-0.0146024,-0.0176494,1,0.00282064,-0.00354419,0.00786527,-0.0146024,-0.0176494,1,-0.00429734,-0.00644753,-0.00684502,0.0206641,-0.0155651,-0.696325,-0.00429734,-0.00644753,-0.00684502,0.0206641,-0.0155651,-0.696325,-0.0672456
cs_base_year_current_hour,1,-0.000505428,-0.132619,-0.000999352,0.00403645,0.00562047,-0.527861,0.00242333,-0.0615394,5.0737e-05,-0.00306302,-0.0032526,-0.705162,0.00102887,0.0797508,-0.00170666,0.00571884,-0.00429734,-0.705162,0.00102887,0.0797508,-0.00170666,0.00571884,-0.00429734,1,-0.000505428,-0.132619,-0.000999352,0.00403645,0.00562047,1,-0.000505428,-0.132619,-0.000999352,0.00403645,0.00562047,0.0101257
cs_base_year_current_day,-0.000505428,1,0.000220105,0.00551088,-0.00288534,0.00767652,0.000499239,-0.491197,0.000513247,-0.00546728,0.0133273,-0.0022232,0.000911419,-0.692957,0.000253706,0.000286634,0.0111192,-0.00644753,0.000911419,-0.692957,0.000253706,0.000286634,0.0111192,-0.00644753,-0.000505428,1,0.000220105,0.00551088,-0.00288534,0.00767652,-0.000505428,1,0.000220105,0.00551088,-0.00288534,0.00767652,-0.00508048
cs_base_year_current_hour_minus,-0.132619,0.000220105,1,-0.00419254,-0.153175,0.00232352,-0.153464,0.000361261,-0.451994,0.00403263,0.113254,-0.00418678,0.163584,-0.000413351,-0.684621,-5.79293e-05,0.115698,-0.00684502,0.163584,-0.000413351,-0.684621,-5.79293e-05,0.115698,-0.00684502,-0.132619,0.000220105,1,-0.00419254,-0.153175,0.00232352,-0.132619,0.000220105,1,-0.00419254,-0.153175,0.00232352,-0.0111188
cs_base_year_current_month,-0.000999352,0.00551088,-0.00419254,1,0.0282723,-0.023648,0.000451105,0.000825993,0.00982606,-0.468023,0.0294005,-0.15696,0.000732074,-0.00666993,0.00577691,-0.687914,-0.0104105,0.0206641,0.000732074,-0.00666993,0.00577691,-0.687914,-0.0104105,0.0206641,-0.000999352,0.00551088,-0.00419254,1,0.0282723,-0.023648,-0.000999352,0.00551088,-0.00419254,1,0.0282723,-0.023648,-0.0449409
cs_base_year_current_year,0.00403645,-0.00288534,-0.153175,0.0282723,1,0.0298677,-0.003099,-0.0059116,0.145044,-0.0421931,-0.464002,-0.0174319,-0.0029031,0.000502478,0.132367,-0.019339,-0.645582,-0.0155651,-0.0029031,0.000502478,0.132367,-0.019339,-0.645582,-0.0155651,0.00403645,-0.00288534,-0.153175,0.0282723,1,0.0298677,0.00403645,-0.00288534,-0.153175,0.0282723,1,0.0298677,0.00292929
cs_base_year_current_month_minus,0.00562047,0.00767652,0.00232352,-0.023648,0.0298677,1,-0.00448655,0.00121802,-0.00497043,-0.184812,-0.0470165,-0.505503,-0.00340827,0.00434628,-0.00493171,-0.0345084,-0.0581562,-0.696325,-0.00340827,0.00434628,-0.00493171,-0.0345084,-0.0581562,-0.696325,0.00562047,0.00767652,0.00232352,-0.023648,0.0298677,1,0.00562047,0.00767652,0.00232352,-0.023648,0.0298677,1,0.0132969
cs_base_month_minus_current_hour,1,-0.000505428,-0.132619,-0.000999352,0.00403645,0.00562047,-0.527861,0.00242333,-0.0615394,5.0737e-05,-0.00306302,-0.0032526,-0.705162,0.00102887,0.0797508,-0.00170666,0.00571884,-0.00429734,-0.705162,0.00102887,0.0797508,-0.00170666,0.00571884,-0.00429734,1,-0.000505428,-0.132619,-0.000999352,0.00403645,0.00562047,1,-0.000505428,-0.132619,-0.000999352,0.00403645,0.00562047,0.0101257
cs_base_month_minus_current_day,-0.000505428,1,0.000220105,0.00551088,-0.00288534,0.00767652,0.000499239,-0.491197,0.000513247,-0.00546728,0.0133273,-0.0022232,0.000911419,-0.692957,0.000253706,0.000286634,0.0111192,-0.00644753,0.000911419,-0.692957,0.000253706,0.000286634,0.0111192,-0.00644753,-0.000505428,1,0.000220105,0.00551088,-0.00288534,0.00767652,-0.000505428,1,0.000220105,0.00551088,-0.00288534,0.00767652,-0.00508048
cs_base_month_minus_current_hour_minus,-0.132619,0.000220105,1,-0.00419254,-0.153175,0.00232352,-0.153464,0.000361261,-0.451994,0.00403263,0.113254,-0.00418678,0.163584,-0.000413351,-0.684621,-5.79293e-05,0.115698,-0.00684502,0.163584,-0.000413351,-0.684621,-5.79293e-05,0.115698,-0.00684502,-0.132619,0.000220105,1,-0.00419254,-0.153175,0.00232352,-0.132619,0.000220105,1,-0.00419254,-0.153175,0.00232352,-0.0111188
cs_base_month_minus_current_month,-0.000999352,0.00551088,-0.00419254,1,0.0282723,-0.023648,0.000451105,0.000825993,0.00982606,-0.468023,0.0294005,-0.15696,0.000732074,-0.00666993,0.00577691,-0.687914,-0.0104105,0.0206641,0.000732074,-0.00666993,0.00577691,-0.687914,-0.0104105,0.0206641,-0.000999352,0.00551088,-0.00419254,1,0.0282723,-0.023648,-0.000999352,0.00551088,-0.00419254,1,0.0282723,-0.023648,-0.0449409
cs_base_month_minus_current_year,0.00403645,-0.00288534,-0.153175,0.0282723,1,0.0298677,-0.003099,-0.0059116,0.145044,-0.0421931,-0.464002,-0.0174319,-0.0029031,0.000502478,0.132367,-0.019339,-0.645582,-0.0155651,-0.0029031,0.000502478,0.132367,-0.019339,-0.645582,-0.0155651,0.00403645,-0.00288534,-0.153175,0.0282723,1,0.0298677,0.00403645,-0.00288534,-0.153175,0.0282723,1,0.0298677,0.00292929
cs_base_month_minus_current_month_minus,0.00562047,0.00767652,0.00232352,-0.023648,0.0298677,1,-0.00448655,0.00121802,-0.00497043,-0.184812,-0.0470165,-0.505503,-0.00340827,0.00434628,-0.00493171,-0.0345084,-0.0581562,-0.696325,-0.00340827,0.00434628,-0.00493171,-0.0345084,-0.0581562,-0.696325,0.00562047,0.00767652,0.00232352,-0.023648,0.0298677,1,0.00562047,0.00767652,0.00232352,-0.023648,0.0298677,1,0.0132969
target,0.0101257,-0.00508048,-0.0111188,-0.0449409,0.00292929,0.0132969,-0.0073329,0.00509582,-0.00438745,0.0124977,-0.293381,-0.0234158,-0.00695277,0.000264592,-0.00107677,0.0158504,-0.132226,-0.0672456,-0.00695277,0.000264592,-0.00107677,0.0158504,-0.132226,-0.0672456,0.0101257,-0.00508048,-0.0111188,-0.0449409,0.00292929,0.0132969,0.0101257,-0.00508048,-0.0111188,-0.0449409,0.00292929,0.0132969,1
