,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
6045,0,3,8,11,0,2,9,5,7,0,9,6,0,8,3,11,1,5,0,6,4,9,0,10,9,10,2,1,8,8,8,2,10,1,9,4
259,1,0,6,8,4,7,6,11,2,7,2,8,4,1,4,3,3,10,8,0,3,4,3,5,7,9,7,2,6,6,4,11,5,10,4,3
443,1,11,6,2,4,11,6,0,2,6,2,0,4,11,4,5,3,11,8,9,3,10,3,9,7,1,7,8,6,1,4,1,5,4,4,1
8398,1,11,6,6,6,2,6,0,2,2,5,6,4,11,4,4,2,5,8,9,3,3,4,10,7,1,7,7,2,8,4,1,5,5,8,4
5076,4,11,0,8,9,7,2,0,11,7,0,8,3,11,1,3,9,10,2,9,0,4,7,5,6,1,9,2,1,6,5,1,11,10,1,3
9303,4,1,0,0,3,6,2,9,11,11,8,2,3,0,1,1,5,4,2,1,0,0,6,3,6,11,9,9,4,7,5,9,11,11,6,5
532,0,8,4,0,4,6,9,7,10,11,2,2,0,3,6,1,3,4,0,4,8,0,3,3,9,2,5,9,6,7,8,10,7,11,4,5
6497,7,1,10,11,0,2,1,9,4,0,9,6,7,0,7,11,1,5,9,1,2,9,0,10,0,11,3,1,8,8,0,9,6,1,9,4
11499,5,10,9,9,0,7,8,4,1,1,9,8,8,7,9,9,1,10,4,2,11,11,0,5,5,3,0,0,8,6,3,6,0,0,9,3
12388,5,5,8,6,7,2,8,3,7,2,1,6,8,2,3,4,7,5,4,7,4,3,9,10,5,4,2,7,0,8,3,8,10,5,0,4
8827,5,10,8,0,3,6,8,4,7,11,8,2,8,7,3,1,5,4,4,2,4,0,6,3,5,3,2,9,4,7,3,6,10,11,6,5
13247,2,7,10,4,6,1,5,8,4,10,5,9,6,10,7,6,2,0,5,5,2,8,4,1,8,6,3,5,2,11,2,3,6,7,8,9
11648,3,9,4,8,0,1,3,1,10,7,9,9,1,9,6,3,1,0,6,11,8,4,0,1,4,0,5,2,8,11,7,0,7,10,9,9
12560,3,9,11,7,7,9,3,1,0,8,1,1,1,9,11,10,7,9,6,11,9,5,9,11,4,0,1,6,0,0,7,0,1,3,0,0
430,2,3,10,2,4,11,5,5,4,6,2,0,6,8,7,5,3,11,5,6,2,10,3,9,8,10,3,8,6,1,2,2,6,4,4,1
13198,6,10,1,4,6,1,7,4,9,10,5,9,2,7,0,6,2,0,3,2,1,8,4,1,2,3,11,5,2,11,9,6,9,7,8,9
8925,4,9,0,10,3,3,2,1,11,4,8,5,3,9,1,7,5,8,2,11,0,2,6,6,6,0,9,3,4,10,5,0,11,6,6,2
2328,3,10,4,10,5,9,3,4,10,4,6,1,1,7,6,7,8,9,6,2,8,2,5,11,4,3,5,3,5,0,7,6,7,6,2,0
7492,3,1,11,3,6,0,3,9,0,5,5,11,1,0,11,8,2,1,6,1,9,6,4,0,4,11,1,10,2,9,7,9,1,2,8,11
12456,5,3,8,3,7,0,8,5,7,5,1,11,8,8,3,8,7,1,4,6,4,6,9,0,5,10,2,10,0,9,3,2,10,2,0,11
577,7,8,7,9,4,10,1,7,8,1,2,4,7,3,10,9,3,7,9,4,5,11,3,2,0,2,6,0,6,3,0,10,3,0,4,6
12719,2,11,10,7,7,9,5,0,4,8,1,1,6,11,7,10,7,9,5,9,2,5,9,11,8,1,3,6,0,0,2,1,6,3,0,0
8639,9,6,2,4,6,1,0,2,6,10,5,9,9,4,5,6,2,0,7,3,10,8,4,1,1,7,8,5,2,11,1,5,4,7,8,9
7665,0,10,4,9,6,10,9,4,10,1,5,4,0,7,6,9,2,7,0,2,8,11,4,2,9,3,5,0,2,3,8,6,7,0,8,6
4871,9,0,2,0,9,6,0,11,6,11,0,2,9,1,5,1,9,4,7,0,10,0,7,3,1,9,8,9,1,7,1,11,4,11,1,5
6323,2,0,0,7,0,8,5,11,11,8,9,7,6,1,1,10,1,3,5,0,0,5,0,4,8,9,9,6,8,2,2,11,11,3,9,10
8511,4,9,0,10,6,3,2,1,11,4,5,5,3,9,1,7,2,8,2,11,0,2,4,6,6,0,9,3,2,10,5,0,11,6,8,2
1698,1,4,11,11,8,2,6,10,0,0,3,6,4,6,11,11,6,5,8,8,9,9,2,10,7,5,1,1,3,8,4,7,1,1,5,4
761,4,0,0,5,4,4,2,11,11,3,2,10,3,1,1,2,3,6,2,0,0,7,3,8,6,9,9,4,6,5,5,11,11,8,4,7
