,time,Open_x,High_x,Low_x,Close_x,Volume_x,stock_code_x,ric_code_x,uuid_x,last_modified_date_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,year,month,day,hour,dayofweek,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,dayofyear,weekofyear,current_hour_pillar_heavenly,current_hour_pillar_earthly,current_hour_pillar_heavenly_sin,current_hour_pillar_heavenly_cos,current_hour_pillar_earthly_sin,current_hour_pillar_earthly_cos,current_day_pillar_heavenly,current_day_pillar_earthly,current_day_pillar_heavenly_sin,current_day_pillar_heavenly_cos,current_day_pillar_earthly_sin,current_day_pillar_earthly_cos,current_day_pillar_minus_heavenly,current_day_pillar_minus_earthly,current_day_pillar_minus_heavenly_sin,current_day_pillar_minus_heavenly_cos,current_day_pillar_minus_earthly_sin,current_day_pillar_minus_earthly_cos,current_hour_pillar_minus_heavenly,current_hour_pillar_minus_earthly,current_hour_pillar_minus_heavenly_sin,current_hour_pillar_minus_heavenly_cos,current_hour_pillar_minus_earthly_sin,current_hour_pillar_minus_earthly_cos,current_month_pillar_heavenly,current_month_pillar_earthly,current_month_pillar_heavenly_sin,current_month_pillar_heavenly_cos,current_month_pillar_earthly_sin,current_month_pillar_earthly_cos,current_year_pillar_heavenly,current_year_pillar_earthly,current_year_pillar_heavenly_sin,current_year_pillar_heavenly_cos,current_year_pillar_earthly_sin,current_year_pillar_earthly_cos,current_year_pillar_minus_heavenly,current_year_pillar_minus_earthly,current_year_pillar_minus_heavenly_sin,current_year_pillar_minus_heavenly_cos,current_year_pillar_minus_earthly_sin,current_year_pillar_minus_earthly_cos,current_month_pillar_minus_heavenly,current_month_pillar_minus_earthly,current_month_pillar_minus_heavenly_sin,current_month_pillar_minus_heavenly_cos,current_month_pillar_minus_earthly_sin,current_month_pillar_minus_earthly_cos,base_year_pillar_heavenly,base_year_pillar_earthly,base_year_pillar_heavenly_sin,base_year_pillar_heavenly_cos,base_year_pillar_earthly_sin,base_year_pillar_earthly_cos,base_month_pillar_heavenly,base_month_pillar_earthly,base_month_pillar_heavenly_sin,base_month_pillar_heavenly_cos,base_month_pillar_earthly_sin,base_month_pillar_earthly_cos,base_day_pillar_heavenly,base_day_pillar_earthly,base_day_pillar_heavenly_sin,base_day_pillar_heavenly_cos,base_day_pillar_earthly_sin,base_day_pillar_earthly_cos,base_hour_pillar_heavenly,base_hour_pillar_earthly,base_hour_pillar_heavenly_sin,base_hour_pillar_heavenly_cos,base_hour_pillar_earthly_sin,base_hour_pillar_earthly_cos,base_month_pillar_minus_heavenly,base_month_pillar_minus_earthly,base_month_pillar_minus_heavenly_sin,base_month_pillar_minus_heavenly_cos,base_month_pillar_minus_earthly_sin,base_month_pillar_minus_earthly_cos,base_hour_pillar_minus_heavenly,base_hour_pillar_minus_earthly,base_hour_pillar_minus_heavenly_sin,base_hour_pillar_minus_heavenly_cos,base_hour_pillar_minus_earthly_sin,base_hour_pillar_minus_earthly_cos,base_year_pillar_minus_heavenly,base_year_pillar_minus_earthly,base_year_pillar_minus_heavenly_sin,base_year_pillar_minus_heavenly_cos,base_year_pillar_minus_earthly_sin,base_year_pillar_minus_earthly_cos,base_day_pillar_minus_heavenly,base_day_pillar_minus_earthly,base_day_pillar_minus_heavenly_sin,base_day_pillar_minus_heavenly_cos,base_day_pillar_minus_earthly_sin,base_day_pillar_minus_earthly_cos,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus,Open_y,High_y,Low_y,Close_y,Volume_y,stock_code_y,ric_code_y,uuid_y,last_modified_date_y,target
0,2019-01-02 09:00:00+08:00,25856,25868,25011,25165,6396234,HSI,^HSI,9071314072075441133,2025-06-03 19:44:44.576477+08:00,己巳,己亥,甲辰,甲戌,己卯,癸丑,戊申,甲戌,己巳,己子,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,2019,1,2,9,2,1,False,False,False,False,False,False,2,1,己,巳,1.22465e-16,-1,0.5,-0.866025,己,亥,1.22465e-16,-1,-0.5,0.866025,甲,辰,0,1,0.866025,-0.5,甲,戌,0,1,-0.866025,0.5,己,卯,1.22465e-16,-1,1,6.12323e-17,癸,丑,-0.587785,0.809017,0.5,0.866025,戊,申,0.587785,-0.809017,-0.866025,-0.5,甲,戌,0,1,-0.866025,0.5,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,臨官,絕,墓庫,沐浴,養,墓庫,胎,帝旺,衰,長生,冠帶,衰,死,沐浴,冠帶,絕,養,冠帶,沐浴,死,墓庫,臨官,衰,墓庫,帝旺,胎,養,病,墓庫,養,長生,病,衰,胎,墓庫,衰,25856,25868,25011,25165,6396234,HSI,^HSI,9071314072075441133,2025-06-03 19:44:44.576477+08:00,25140
1,2019-01-02 11:00:00+08:00,25165,25202,25079,25140,8123766,HSI,^HSI,7932780965446938873,2025-06-03 19:44:44.576477+08:00,庚午,甲寅,己未,乙亥,己卯,癸丑,戊申,甲戌,庚午,己丑,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,2019,1,2,11,2,1,False,False,False,False,False,False,2,1,庚,午,-0.587785,-0.809017,1.22465e-16,-1,甲,寅,0,1,0.866025,0.5,己,未,1.22465e-16,-1,-0.5,-0.866025,乙,亥,0.587785,0.809017,-0.5,0.866025,己,卯,1.22465e-16,-1,1,6.12323e-17,癸,丑,-0.587785,0.809017,0.5,0.866025,戊,申,0.587785,-0.809017,-0.866025,-0.5,甲,戌,0,1,-0.866025,0.5,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,帝旺,長生,絕,沐浴,養,墓庫,絕,沐浴,帝旺,長生,冠帶,衰,病,胎,沐浴,絕,養,冠帶,長生,帝旺,死,臨官,衰,墓庫,臨官,死,胎,病,墓庫,養,沐浴,絕,病,胎,墓庫,衰,25165,25202,25079,25140,8123766,HSI,^HSI,7932780965446938873,2025-06-03 19:44:44.576477+08:00,25089
2,2019-01-02 13:00:00+08:00,25141,25223,25067,25089,3844072,HSI,^HSI,10878246563493248040,2025-06-03 19:44:44.576477+08:00,辛未,甲寅,己未,丙子,己卯,癸丑,戊申,甲戌,辛未,甲丑,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,2019,1,2,13,2,1,False,False,False,False,False,False,2,1,辛,未,-0.951057,-0.309017,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,己,未,1.22465e-16,-1,-0.5,-0.866025,丙,子,0.951057,0.309017,0,1,己,卯,1.22465e-16,-1,1,6.12323e-17,癸,丑,-0.587785,0.809017,0.5,0.866025,戊,申,0.587785,-0.809017,-0.866025,-0.5,甲,戌,0,1,-0.866025,0.5,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,衰,長生,胎,沐浴,養,墓庫,墓庫,沐浴,臨官,長生,冠帶,衰,衰,胎,長生,絕,養,冠帶,養,帝旺,病,臨官,衰,墓庫,冠帶,死,絕,病,墓庫,養,冠帶,絕,死,胎,墓庫,衰,25141,25223,25067,25089,3844072,HSI,^HSI,10878246563493248040,2025-06-03 19:44:44.576477+08:00,24975
3,2019-01-02 15:00:00+08:00,25089,25113,24975,24975,2651117,HSI,^HSI,1397371356375375394,2025-06-03 19:44:44.576477+08:00,壬申,甲寅,己未,丁丑,己卯,癸丑,戊申,甲戌,壬申,甲寅,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,2019,1,2,15,2,1,False,False,False,False,False,False,2,1,壬,申,-0.951057,0.309017,-0.866025,-0.5,甲,寅,0,1,0.866025,0.5,己,未,1.22465e-16,-1,-0.5,-0.866025,丁,丑,0.951057,-0.309017,0.5,0.866025,己,卯,1.22465e-16,-1,1,6.12323e-17,癸,丑,-0.587785,0.809017,0.5,0.866025,戊,申,0.587785,-0.809017,-0.866025,-0.5,甲,戌,0,1,-0.866025,0.5,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,病,長生,養,沐浴,養,墓庫,死,沐浴,冠帶,長生,冠帶,衰,帝旺,胎,養,絕,養,冠帶,胎,帝旺,衰,臨官,衰,墓庫,沐浴,死,墓庫,病,墓庫,養,臨官,絕,墓庫,胎,墓庫,衰,25089,25113,24975,24975,2651117,HSI,^HSI,1397371356375375394,2025-06-03 19:44:44.576477+08:00,25063
4,2019-01-02 17:00:00+08:00,25030,25090,25027,25063,3489637,HSI,^HSI,14034909689512842014,2025-06-03 19:44:44.576477+08:00,癸酉,甲寅,己未,戊寅,己卯,癸丑,戊申,甲戌,癸酉,甲寅,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,2019,1,2,17,2,1,False,False,False,False,False,False,2,1,癸,酉,-0.587785,0.809017,-1,-1.83697e-16,甲,寅,0,1,0.866025,0.5,己,未,1.22465e-16,-1,-0.5,-0.866025,戊,寅,0.587785,-0.809017,0.866025,0.5,己,卯,1.22465e-16,-1,1,6.12323e-17,癸,丑,-0.587785,0.809017,0.5,0.866025,戊,申,0.587785,-0.809017,-0.866025,-0.5,甲,戌,0,1,-0.866025,0.5,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,死,長生,長生,沐浴,養,墓庫,病,沐浴,沐浴,長生,冠帶,衰,臨官,胎,胎,絕,養,冠帶,絕,帝旺,帝旺,臨官,衰,墓庫,長生,死,死,病,墓庫,養,帝旺,絕,絕,胎,墓庫,衰,25030,25090,25027,25063,3489637,HSI,^HSI,14034909689512842014,2025-06-03 19:44:44.576477+08:00,25106
5,2019-01-02 19:00:00+08:00,25064,25147,25055,25106,6799726,HSI,^HSI,5539893328691395610,2025-06-03 19:44:44.576477+08:00,甲戌,甲寅,己未,己卯,己卯,癸丑,戊申,甲戌,甲戌,甲卯,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,2019,1,2,19,2,1,False,False,False,False,False,False,2,1,甲,戌,0,1,-0.866025,0.5,甲,寅,0,1,0.866025,0.5,己,未,1.22465e-16,-1,-0.5,-0.866025,己,卯,1.22465e-16,-1,1,6.12323e-17,己,卯,1.22465e-16,-1,1,6.12323e-17,癸,丑,-0.587785,0.809017,0.5,0.866025,戊,申,0.587785,-0.809017,-0.866025,-0.5,甲,戌,0,1,-0.866025,0.5,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,墓庫,長生,沐浴,沐浴,養,墓庫,衰,沐浴,長生,長生,冠帶,衰,冠帶,胎,絕,絕,養,冠帶,墓庫,帝旺,臨官,臨官,衰,墓庫,養,死,病,病,墓庫,養,衰,絕,胎,胎,墓庫,衰,25064,25147,25055,25106,6799726,HSI,^HSI,5539893328691395610,2025-06-03 19:44:44.576477+08:00,25168
6,2019-01-02 21:00:00+08:00,25104,25198,25076,25168,8630576,HSI,^HSI,12539024281072210976,2025-06-03 19:44:44.576477+08:00,乙亥,甲寅,己未,庚辰,己卯,癸丑,戊申,甲戌,乙亥,甲卯,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,2019,1,2,21,2,1,False,False,False,False,False,False,2,1,乙,亥,0.587785,0.809017,-0.5,0.866025,甲,寅,0,1,0.866025,0.5,己,未,1.22465e-16,-1,-0.5,-0.866025,庚,辰,-0.587785,-0.809017,0.866025,-0.5,己,卯,1.22465e-16,-1,1,6.12323e-17,癸,丑,-0.587785,0.809017,0.5,0.866025,戊,申,0.587785,-0.809017,-0.866025,-0.5,甲,戌,0,1,-0.866025,0.5,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,絕,長生,冠帶,沐浴,養,墓庫,帝旺,沐浴,養,長生,冠帶,衰,沐浴,胎,墓庫,絕,養,冠帶,死,帝旺,冠帶,臨官,衰,墓庫,胎,死,衰,病,墓庫,養,病,絕,養,胎,墓庫,衰,25104,25198,25076,25168,8630576,HSI,^HSI,12539024281072210976,2025-06-03 19:44:44.576477+08:00,25308
7,2019-01-02 23:00:00+08:00,25168,25363,25141,25308,6042710,HSI,^HSI,8779100408422259690,2025-06-03 19:44:44.576477+08:00,戊子,庚子,乙巳,癸巳,己卯,癸丑,戊申,甲戌,戊子,乙亥,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,2019,1,2,23,2,1,False,False,False,False,False,False,2,1,戊,子,0.587785,-0.809017,0,1,庚,子,-0.587785,-0.809017,0,1,乙,巳,0.587785,0.809017,0.5,-0.866025,癸,巳,-0.587785,0.809017,0.5,-0.866025,己,卯,1.22465e-16,-1,1,6.12323e-17,癸,丑,-0.587785,0.809017,0.5,0.866025,戊,申,0.587785,-0.809017,-0.866025,-0.5,甲,戌,0,1,-0.866025,0.5,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,胎,胎,臨官,沐浴,養,墓庫,臨官,臨官,胎,長生,冠帶,衰,長生,長生,死,絕,養,冠帶,病,病,沐浴,臨官,衰,墓庫,絕,絕,帝旺,病,墓庫,養,死,死,長生,胎,墓庫,衰,25168,25363,25141,25308,6042710,HSI,^HSI,8779100408422259690,2025-06-03 19:44:44.576477+08:00,25042
8,2019-01-03 09:00:00+08:00,25056,25238,24978,25042,9002282,HSI,^HSI,9777234713183939806,2025-06-03 19:44:44.576477+08:00,辛巳,庚子,乙巳,丙戌,己卯,癸丑,戊申,甲戌,辛巳,庚丑,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,2019,1,3,9,3,1,False,False,False,False,False,False,3,1,辛,巳,-0.951057,-0.309017,0.5,-0.866025,庚,子,-0.587785,-0.809017,0,1,乙,巳,0.587785,0.809017,0.5,-0.866025,丙,戌,0.951057,0.309017,-0.866025,0.5,己,卯,1.22465e-16,-1,1,6.12323e-17,癸,丑,-0.587785,0.809017,0.5,0.866025,戊,申,0.587785,-0.809017,-0.866025,-0.5,甲,戌,0,1,-0.866025,0.5,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,臨官,胎,墓庫,沐浴,養,墓庫,胎,臨官,衰,長生,冠帶,衰,死,長生,冠帶,絕,養,冠帶,沐浴,病,墓庫,臨官,衰,墓庫,帝旺,絕,養,病,墓庫,養,長生,死,衰,胎,墓庫,衰,25056,25238,24978,25042,9002282,HSI,^HSI,9777234713183939806,2025-06-03 19:44:44.576477+08:00,25023
9,2019-01-03 11:00:00+08:00,25042,25048,24907,25023,1748306,HSI,^HSI,14329781399392581076,2025-06-03 19:44:44.576477+08:00,壬午,乙卯,庚申,丁亥,己卯,癸丑,戊申,甲戌,壬午,庚寅,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,2019,1,3,11,3,1,False,False,False,False,False,False,3,1,壬,午,-0.951057,0.309017,1.22465e-16,-1,乙,卯,0.587785,0.809017,1,6.12323e-17,庚,申,-0.587785,-0.809017,-0.866025,-0.5,丁,亥,0.951057,-0.309017,-0.5,0.866025,己,卯,1.22465e-16,-1,1,6.12323e-17,癸,丑,-0.587785,0.809017,0.5,0.866025,戊,申,0.587785,-0.809017,-0.866025,-0.5,甲,戌,0,1,-0.866025,0.5,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,帝旺,沐浴,絕,沐浴,養,墓庫,絕,長生,帝旺,長生,冠帶,衰,病,絕,沐浴,絕,養,冠帶,長生,臨官,死,臨官,衰,墓庫,臨官,病,胎,病,墓庫,養,沐浴,胎,病,胎,墓庫,衰,25042,25048,24907,25023,1748306,HSI,^HSI,14329781399392581076,2025-06-03 19:44:44.576477+08:00,25031
