,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,year,month,day,hour,dayofweek,quarter,dayofyear,weekofyear,current_hour_pillar_heavenly,current_hour_pillar_earthly,current_hour_pillar_heavenly_sin,current_hour_pillar_heavenly_cos,current_hour_pillar_earthly_sin,current_hour_pillar_earthly_cos,current_day_pillar_heavenly,current_day_pillar_earthly,current_day_pillar_heavenly_sin,current_day_pillar_heavenly_cos,current_day_pillar_earthly_sin,current_day_pillar_earthly_cos,current_day_pillar_minus_heavenly,current_day_pillar_minus_earthly,current_day_pillar_minus_heavenly_sin,current_day_pillar_minus_heavenly_cos,current_day_pillar_minus_earthly_sin,current_day_pillar_minus_earthly_cos,current_hour_pillar_minus_heavenly,current_hour_pillar_minus_earthly,current_hour_pillar_minus_heavenly_sin,current_hour_pillar_minus_heavenly_cos,current_hour_pillar_minus_earthly_sin,current_hour_pillar_minus_earthly_cos,current_month_pillar_heavenly,current_month_pillar_earthly,current_month_pillar_heavenly_sin,current_month_pillar_heavenly_cos,current_month_pillar_earthly_sin,current_month_pillar_earthly_cos,current_year_pillar_heavenly,current_year_pillar_earthly,current_year_pillar_heavenly_sin,current_year_pillar_heavenly_cos,current_year_pillar_earthly_sin,current_year_pillar_earthly_cos,current_year_pillar_minus_heavenly,current_year_pillar_minus_earthly,current_year_pillar_minus_heavenly_sin,current_year_pillar_minus_heavenly_cos,current_year_pillar_minus_earthly_sin,current_year_pillar_minus_earthly_cos,current_month_pillar_minus_heavenly,current_month_pillar_minus_earthly,current_month_pillar_minus_heavenly_sin,current_month_pillar_minus_heavenly_cos,current_month_pillar_minus_earthly_sin,current_month_pillar_minus_earthly_cos,base_year_pillar_heavenly,base_year_pillar_earthly,base_year_pillar_heavenly_sin,base_year_pillar_heavenly_cos,base_year_pillar_earthly_sin,base_year_pillar_earthly_cos,base_month_pillar_heavenly,base_month_pillar_earthly,base_month_pillar_heavenly_sin,base_month_pillar_heavenly_cos,base_month_pillar_earthly_sin,base_month_pillar_earthly_cos,base_day_pillar_heavenly,base_day_pillar_earthly,base_day_pillar_heavenly_sin,base_day_pillar_heavenly_cos,base_day_pillar_earthly_sin,base_day_pillar_earthly_cos,base_hour_pillar_heavenly,base_hour_pillar_earthly,base_hour_pillar_heavenly_sin,base_hour_pillar_heavenly_cos,base_hour_pillar_earthly_sin,base_hour_pillar_earthly_cos,base_month_pillar_minus_heavenly,base_month_pillar_minus_earthly,base_month_pillar_minus_heavenly_sin,base_month_pillar_minus_heavenly_cos,base_month_pillar_minus_earthly_sin,base_month_pillar_minus_earthly_cos,base_hour_pillar_minus_heavenly,base_hour_pillar_minus_earthly,base_hour_pillar_minus_heavenly_sin,base_hour_pillar_minus_heavenly_cos,base_hour_pillar_minus_earthly_sin,base_hour_pillar_minus_earthly_cos,base_year_pillar_minus_heavenly,base_year_pillar_minus_earthly,base_year_pillar_minus_heavenly_sin,base_year_pillar_minus_heavenly_cos,base_year_pillar_minus_earthly_sin,base_year_pillar_minus_earthly_cos,base_day_pillar_minus_heavenly,base_day_pillar_minus_earthly,base_day_pillar_minus_heavenly_sin,base_day_pillar_minus_heavenly_cos,base_day_pillar_minus_earthly_sin,base_day_pillar_minus_earthly_cos,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus,Open_x,High_x,Low_x,Close_x,Volume_x,Dividends_x,Stock Splits_x
0,10,47,29,29,10,3,7,55,10,87,69,10,0,0,0,0,0,0,0,0,2025,6,4,1,2,2,155,23,2,0,0.587785,0.809017,0.5,0.866025,7,10,0,1,0.866025,-0.5,4,11,1.22465e-16,-1,-1,-1.83697e-16,5,2,-0.587785,-0.809017,1.22465e-16,-1,1,9,0.951057,0.309017,-0.866025,-0.5,2,6,0.587785,0.809017,0.5,-0.866025,5,4,-0.587785,-0.809017,0,1,9,3,-0.951057,-0.309017,1,6.12323e-17,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,0.951057,0.309017,0.866025,-0.5,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,9,0,2,5,7,4,0,11,6,3,6,10,9,1,5,2,3,6,7,0,10,7,4,8,1,9,8,4,2,5,1,11,4,8,9,7,0,0,0,0,0,0,0
1,0,15,33,18,10,3,7,55,0,34,69,10,0,0,0,0,0,0,0,0,2025,6,5,1,3,2,156,23,0,0,0.951057,-0.309017,0.5,0.866025,2,6,0.587785,0.809017,0.5,-0.866025,5,7,-0.587785,-0.809017,-0.866025,0.5,3,2,-0.951057,0.309017,1.22465e-16,-1,1,9,0.951057,0.309017,-0.866025,-0.5,2,6,0.587785,0.809017,0.5,-0.866025,5,4,-0.587785,-0.809017,0,1,9,3,-0.951057,-0.309017,1,6.12323e-17,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,0.951057,0.309017,0.866025,-0.5,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,9,8,2,5,7,4,0,7,6,3,6,10,9,3,5,2,3,6,7,4,10,7,4,8,1,2,8,4,2,5,1,10,4,8,9,7,0,0,0,0,0,0,0
2,20,6,54,45,18,8,2,1,20,18,38,10,0,0,0,0,0,0,0,0,2025,6,6,1,4,2,157,23,4,0,1.22465e-16,-1,0.5,0.866025,1,2,0.951057,0.309017,1.22465e-16,-1,9,0,-0.951057,-0.309017,0.5,0.866025,7,9,0,1,-0.866025,-0.5,3,2,-0.951057,0.309017,1.22465e-16,-1,5,9,-0.587785,-0.809017,-0.866025,-0.5,2,0,0.587785,0.809017,0.5,0.866025,0,1,0.951057,-0.309017,-0.5,0.866025,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,0.951057,0.309017,0.866025,-0.5,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,9,2,5,2,4,6,0,6,3,6,3,2,9,5,2,5,2,4,7,10,7,10,6,3,1,8,4,8,4,7,1,4,8,4,7,5,0,0,0,0,0,0,0
3,10,29,47,33,18,8,2,1,10,57,2,10,0,0,0,0,0,0,0,0,2025,6,9,1,0,2,160,24,2,0,0.587785,0.809017,0.5,0.866025,4,11,1.22465e-16,-1,-1,-1.83697e-16,7,10,0,1,0.866025,-0.5,5,9,-0.587785,-0.809017,-0.866025,-0.5,3,2,-0.951057,0.309017,1.22465e-16,-1,5,9,-0.587785,-0.809017,-0.866025,-0.5,2,0,0.587785,0.809017,0.5,0.866025,0,1,0.951057,-0.309017,-0.5,0.866025,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,0.951057,0.309017,0.866025,-0.5,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,9,3,5,2,4,6,0,5,3,6,3,2,9,8,2,5,2,4,7,6,7,10,6,3,1,10,4,8,4,7,1,2,8,4,7,5,0,0,0,0,0,0,0
4,0,33,15,22,18,8,2,1,0,71,2,10,0,0,0,0,0,0,0,0,2025,6,10,1,1,2,161,24,0,0,0.951057,-0.309017,0.5,0.866025,5,7,-0.587785,-0.809017,-0.866025,0.5,2,6,0.587785,0.809017,0.5,-0.866025,3,9,-0.951057,0.309017,-0.866025,-0.5,3,2,-0.951057,0.309017,1.22465e-16,-1,5,9,-0.587785,-0.809017,-0.866025,-0.5,2,0,0.587785,0.809017,0.5,0.866025,0,1,0.951057,-0.309017,-0.5,0.866025,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,0.951057,0.309017,0.866025,-0.5,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,9,1,5,2,4,6,0,9,3,6,3,2,9,0,2,5,2,4,7,1,7,10,6,3,1,11,4,8,4,7,1,9,8,4,7,5,0,0,0,0,0,0,0
5,20,55,6,45,18,8,2,1,20,115,2,10,0,0,0,0,0,0,0,0,2025,6,11,1,2,2,162,24,4,0,1.22465e-16,-1,0.5,0.866025,9,1,-0.951057,-0.309017,-0.5,0.866025,1,2,0.951057,0.309017,1.22465e-16,-1,7,9,0,1,-0.866025,-0.5,3,2,-0.951057,0.309017,1.22465e-16,-1,5,9,-0.587785,-0.809017,-0.866025,-0.5,2,0,0.587785,0.809017,0.5,0.866025,0,1,0.951057,-0.309017,-0.5,0.866025,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,0.951057,0.309017,0.866025,-0.5,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,9,6,5,2,4,6,0,2,3,6,3,2,9,4,2,5,2,4,7,3,7,10,6,3,1,7,4,8,4,7,1,5,8,4,7,5,0,0,0,0,0,0,0
6,45,19,4,10,18,8,2,1,45,37,74,10,0,0,0,0,0,0,0,0,2025,6,12,1,3,2,163,24,9,0,-0.951057,-0.309017,0.5,0.866025,3,4,-0.951057,0.309017,0,1,0,8,0.951057,-0.309017,-0.5,-0.866025,1,9,0.951057,0.309017,-0.866025,-0.5,3,2,-0.951057,0.309017,1.22465e-16,-1,5,9,-0.587785,-0.809017,-0.866025,-0.5,2,0,0.587785,0.809017,0.5,0.866025,0,1,0.951057,-0.309017,-0.5,0.866025,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,0.951057,0.309017,0.866025,-0.5,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,9,7,5,2,4,6,0,8,3,6,3,2,9,10,2,5,2,4,7,5,7,10,6,3,1,6,4,8,4,7,1,3,8,4,7,5,0,0,0,0,0,0,0
7,40,48,40,39,18,8,2,1,40,100,74,10,0,0,0,0,0,0,0,0,2025,6,13,1,4,2,164,24,8,0,-0.587785,0.809017,0.5,0.866025,8,0,-0.587785,0.809017,0.5,0.866025,6,9,0.587785,-0.809017,-0.866025,-0.5,6,9,0.587785,-0.809017,-0.866025,-0.5,3,2,-0.951057,0.309017,1.22465e-16,-1,5,9,-0.587785,-0.809017,-0.866025,-0.5,2,0,0.587785,0.809017,0.5,0.866025,0,1,0.951057,-0.309017,-0.5,0.866025,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,0.951057,0.309017,0.866025,-0.5,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,9,11,5,2,4,6,0,0,3,6,3,2,9,11,2,5,2,4,7,9,7,10,6,3,1,1,4,8,4,7,1,1,8,4,7,5,0,0,0,0,0,0,0
8,20,11,55,45,18,8,2,1,20,15,98,10,0,0,0,0,0,0,0,0,2025,6,16,1,0,2,167,25,4,0,1.22465e-16,-1,0.5,0.866025,1,10,0.951057,0.309017,0.866025,-0.5,9,1,-0.951057,-0.309017,-0.5,0.866025,7,9,0,1,-0.866025,-0.5,3,2,-0.951057,0.309017,1.22465e-16,-1,5,9,-0.587785,-0.809017,-0.866025,-0.5,2,0,0.587785,0.809017,0.5,0.866025,0,1,0.951057,-0.309017,-0.5,0.866025,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,0.951057,0.309017,0.866025,-0.5,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,9,0,5,2,4,6,0,11,3,6,3,2,9,1,2,5,2,4,7,0,7,10,6,3,1,9,4,8,4,7,1,11,8,4,7,5,0,0,0,0,0,0,0
9,45,3,19,10,18,8,2,1,45,10,98,10,0,0,0,0,0,0,0,0,2025,6,17,1,1,2,168,25,9,0,-0.951057,-0.309017,0.5,0.866025,0,6,0.951057,-0.309017,0.5,-0.866025,3,4,-0.951057,0.309017,0,1,1,9,0.951057,0.309017,-0.866025,-0.5,3,2,-0.951057,0.309017,1.22465e-16,-1,5,9,-0.587785,-0.809017,-0.866025,-0.5,2,0,0.587785,0.809017,0.5,0.866025,0,1,0.951057,-0.309017,-0.5,0.866025,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,0.951057,0.309017,0.866025,-0.5,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,9,8,5,2,4,6,0,7,3,6,3,2,9,3,2,5,2,4,7,4,7,10,6,3,1,2,4,8,4,7,1,10,8,4,7,5,0,0,0,0,0,0,0
