,time,date,stock_code_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code_y,uuid,last_modified_date,year,month,day,hour,dayofweek,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,dayofyear,weekofyear,current_hour_pillar_heavenly,current_hour_pillar_earthly,current_hour_pillar_heavenly_sin,current_hour_pillar_heavenly_cos,current_hour_pillar_earthly_sin,current_hour_pillar_earthly_cos,current_day_pillar_heavenly,current_day_pillar_earthly,current_day_pillar_heavenly_sin,current_day_pillar_heavenly_cos,current_day_pillar_earthly_sin,current_day_pillar_earthly_cos,current_day_pillar_minus_heavenly,current_day_pillar_minus_earthly,current_day_pillar_minus_heavenly_sin,current_day_pillar_minus_heavenly_cos,current_day_pillar_minus_earthly_sin,current_day_pillar_minus_earthly_cos,current_hour_pillar_minus_heavenly,current_hour_pillar_minus_earthly,current_hour_pillar_minus_heavenly_sin,current_hour_pillar_minus_heavenly_cos,current_hour_pillar_minus_earthly_sin,current_hour_pillar_minus_earthly_cos,current_month_pillar_heavenly,current_month_pillar_earthly,current_month_pillar_heavenly_sin,current_month_pillar_heavenly_cos,current_month_pillar_earthly_sin,current_month_pillar_earthly_cos,current_year_pillar_heavenly,current_year_pillar_earthly,current_year_pillar_heavenly_sin,current_year_pillar_heavenly_cos,current_year_pillar_earthly_sin,current_year_pillar_earthly_cos,current_year_pillar_minus_heavenly,current_year_pillar_minus_earthly,current_year_pillar_minus_heavenly_sin,current_year_pillar_minus_heavenly_cos,current_year_pillar_minus_earthly_sin,current_year_pillar_minus_earthly_cos,current_month_pillar_minus_heavenly,current_month_pillar_minus_earthly,current_month_pillar_minus_heavenly_sin,current_month_pillar_minus_heavenly_cos,current_month_pillar_minus_earthly_sin,current_month_pillar_minus_earthly_cos,base_year_pillar_heavenly,base_year_pillar_earthly,base_year_pillar_heavenly_sin,base_year_pillar_heavenly_cos,base_year_pillar_earthly_sin,base_year_pillar_earthly_cos,base_month_pillar_heavenly,base_month_pillar_earthly,base_month_pillar_heavenly_sin,base_month_pillar_heavenly_cos,base_month_pillar_earthly_sin,base_month_pillar_earthly_cos,base_day_pillar_heavenly,base_day_pillar_earthly,base_day_pillar_heavenly_sin,base_day_pillar_heavenly_cos,base_day_pillar_earthly_sin,base_day_pillar_earthly_cos,base_hour_pillar_heavenly,base_hour_pillar_earthly,base_hour_pillar_heavenly_sin,base_hour_pillar_heavenly_cos,base_hour_pillar_earthly_sin,base_hour_pillar_earthly_cos,base_month_pillar_minus_heavenly,base_month_pillar_minus_earthly,base_month_pillar_minus_heavenly_sin,base_month_pillar_minus_heavenly_cos,base_month_pillar_minus_earthly_sin,base_month_pillar_minus_earthly_cos,base_hour_pillar_minus_heavenly,base_hour_pillar_minus_earthly,base_hour_pillar_minus_heavenly_sin,base_hour_pillar_minus_heavenly_cos,base_hour_pillar_minus_earthly_sin,base_hour_pillar_minus_earthly_cos,base_year_pillar_minus_heavenly,base_year_pillar_minus_earthly,base_year_pillar_minus_heavenly_sin,base_year_pillar_minus_heavenly_cos,base_year_pillar_minus_earthly_sin,base_year_pillar_minus_earthly_cos,base_day_pillar_minus_heavenly,base_day_pillar_minus_earthly,base_day_pillar_minus_heavenly_sin,base_day_pillar_minus_heavenly_cos,base_day_pillar_minus_earthly_sin,base_day_pillar_minus_earthly_cos,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
0,2025-01-20 09:00:00+08:00,2025-01-20 09:00:00+08:00,0,22,24,46,42,23,12,6,5,23,53,94,17,1,1,0,0,1,0,1,0,0,702,0,2025,1,20,9,0,1,False,False,False,False,False,False,20,4,4,5,1.22465e-16,-1,0.5,-0.866025,4,0,1.22465e-16,-1,0.5,0.866025,7,9,0,1,-0.866025,-0.5,7,4,0,1,0,1,3,10,-0.951057,0.309017,0.866025,-0.5,7,10,0,1,0.866025,-0.5,4,10,1.22465e-16,-1,-1,-1.83697e-16,0,11,0.951057,-0.309017,-1,-1.83697e-16,1,0,0.587785,-0.809017,1.22465e-16,-1,1,0,-0.587785,0.809017,-0.5,0.866025,0,0,0.587785,0.809017,0.5,0.866025,0,0,0.951057,0.309017,0,1,1,0,0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,0.5,-0.866025,1,0,-0.587785,0.809017,0.5,0.866025,0,0,-0.587785,-0.809017,1.22465e-16,-1,6,11,7,0,0,3,4,9,5,0,0,6,2,11,10,1,1,8,6,0,8,11,10,5,8,11,7,0,0,3,7,11,7,0,0,3
1,2025-01-20 10:00:00+08:00,2025-01-20 10:00:00+08:00,0,22,24,46,42,23,12,6,5,9,53,94,17,1,1,0,0,1,0,1,0,0,477,0,2025,1,20,10,0,1,False,False,False,False,False,False,20,4,4,5,1.22465e-16,-1,0.5,-0.866025,4,0,1.22465e-16,-1,0.5,0.866025,7,9,0,1,-0.866025,-0.5,7,4,0,1,0,1,3,10,-0.951057,0.309017,0.866025,-0.5,7,10,0,1,0.866025,-0.5,4,10,1.22465e-16,-1,-1,-1.83697e-16,0,11,0.951057,-0.309017,-1,-1.83697e-16,1,0,0.587785,-0.809017,1.22465e-16,-1,1,0,-0.587785,0.809017,-0.5,0.866025,0,0,0.587785,0.809017,0.5,0.866025,0,0,0.951057,0.309017,0,1,1,0,0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,0.5,-0.866025,1,0,-0.587785,0.809017,0.5,0.866025,0,0,-0.587785,-0.809017,1.22465e-16,-1,6,11,7,0,0,3,4,9,5,0,0,6,2,11,10,1,1,8,6,0,8,11,10,5,8,11,7,0,0,3,7,11,7,0,0,3
2,2025-01-20 11:00:00+08:00,2025-01-20 11:00:00+08:00,0,25,47,25,12,23,12,6,5,26,51,94,17,1,1,0,0,1,0,1,0,0,65,0,2025,1,20,11,0,1,False,False,False,False,False,False,20,4,5,2,-0.587785,-0.809017,1.22465e-16,-1,7,10,0,1,0.866025,-0.5,4,1,1.22465e-16,-1,-0.5,0.866025,2,0,0.587785,0.809017,0.5,0.866025,3,10,-0.951057,0.309017,0.866025,-0.5,7,10,0,1,0.866025,-0.5,4,10,1.22465e-16,-1,-1,-1.83697e-16,0,11,0.951057,-0.309017,-1,-1.83697e-16,1,0,0.587785,-0.809017,1.22465e-16,-1,1,0,-0.587785,0.809017,-0.5,0.866025,0,0,0.587785,0.809017,0.5,0.866025,0,0,0.951057,0.309017,0,1,1,0,0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,0.5,-0.866025,1,0,-0.587785,0.809017,0.5,0.866025,0,0,-0.587785,-0.809017,1.22465e-16,-1,1,0,11,0,0,3,10,0,9,0,0,6,4,1,11,1,1,8,5,11,0,11,10,5,2,0,11,0,0,3,2,0,11,0,0,3
3,2025-01-20 12:00:00+08:00,2025-01-20 12:00:00+08:00,0,25,47,25,12,23,12,6,5,4,87,94,17,1,1,0,0,1,0,1,0,0,387,0,2025,1,20,12,0,1,False,False,False,False,False,False,20,4,5,2,-0.587785,-0.809017,1.22465e-16,-1,7,10,0,1,0.866025,-0.5,4,1,1.22465e-16,-1,-0.5,0.866025,2,0,0.587785,0.809017,0.5,0.866025,3,10,-0.951057,0.309017,0.866025,-0.5,7,10,0,1,0.866025,-0.5,4,10,1.22465e-16,-1,-1,-1.83697e-16,0,11,0.951057,-0.309017,-1,-1.83697e-16,1,0,0.587785,-0.809017,1.22465e-16,-1,1,0,-0.587785,0.809017,-0.5,0.866025,0,0,0.587785,0.809017,0.5,0.866025,0,0,0.951057,0.309017,0,1,1,0,0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,0.5,-0.866025,1,0,-0.587785,0.809017,0.5,0.866025,0,0,-0.587785,-0.809017,1.22465e-16,-1,1,0,11,0,0,3,10,0,9,0,0,6,4,1,11,1,1,8,5,11,0,11,10,5,2,0,11,0,0,3,2,0,11,0,0,3
4,2025-01-20 13:00:00+08:00,2025-01-20 13:00:00+08:00,0,48,47,25,8,23,12,6,5,50,87,94,17,1,1,0,0,1,0,1,0,0,410,0,2025,1,20,13,0,1,False,False,False,False,False,False,20,4,9,7,-0.951057,-0.309017,-0.5,-0.866025,7,10,0,1,0.866025,-0.5,4,1,1.22465e-16,-1,-0.5,0.866025,1,5,0.951057,0.309017,0.866025,0.5,3,10,-0.951057,0.309017,0.866025,-0.5,7,10,0,1,0.866025,-0.5,4,10,1.22465e-16,-1,-1,-1.83697e-16,0,11,0.951057,-0.309017,-1,-1.83697e-16,1,0,0.587785,-0.809017,1.22465e-16,-1,1,0,-0.587785,0.809017,-0.5,0.866025,0,0,0.587785,0.809017,0.5,0.866025,0,0,0.951057,0.309017,0,1,1,0,0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,0.5,-0.866025,1,0,-0.587785,0.809017,0.5,0.866025,0,0,-0.587785,-0.809017,1.22465e-16,-1,7,0,10,0,0,3,11,0,2,0,0,6,7,1,7,1,1,8,0,11,4,11,10,5,9,0,10,0,0,3,8,0,10,0,0,3
5,2025-01-20 14:00:00+08:00,2025-01-20 14:00:00+08:00,0,48,47,25,8,23,12,6,5,34,87,94,17,1,1,0,0,1,0,1,0,0,82,0,2025,1,20,14,0,1,False,False,False,False,False,False,20,4,9,7,-0.951057,-0.309017,-0.5,-0.866025,7,10,0,1,0.866025,-0.5,4,1,1.22465e-16,-1,-0.5,0.866025,1,5,0.951057,0.309017,0.866025,0.5,3,10,-0.951057,0.309017,0.866025,-0.5,7,10,0,1,0.866025,-0.5,4,10,1.22465e-16,-1,-1,-1.83697e-16,0,11,0.951057,-0.309017,-1,-1.83697e-16,1,0,0.587785,-0.809017,1.22465e-16,-1,1,0,-0.587785,0.809017,-0.5,0.866025,0,0,0.587785,0.809017,0.5,0.866025,0,0,0.951057,0.309017,0,1,1,0,0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,0.5,-0.866025,1,0,-0.587785,0.809017,0.5,0.866025,0,0,-0.587785,-0.809017,1.22465e-16,-1,7,0,10,0,0,3,11,0,2,0,0,6,7,1,7,1,1,8,0,11,4,11,10,5,9,0,10,0,0,3,8,0,10,0,0,3
6,2025-01-20 15:00:00+08:00,2025-01-20 15:00:00+08:00,0,19,47,25,2,23,12,6,5,19,94,94,17,1,1,0,0,1,0,1,0,0,560,0,2025,1,20,15,0,1,False,False,False,False,False,False,20,4,3,8,-0.951057,0.309017,-0.866025,-0.5,7,10,0,1,0.866025,-0.5,4,1,1.22465e-16,-1,-0.5,0.866025,0,3,0.951057,-0.309017,1,6.12323e-17,3,10,-0.951057,0.309017,0.866025,-0.5,7,10,0,1,0.866025,-0.5,4,10,1.22465e-16,-1,-1,-1.83697e-16,0,11,0.951057,-0.309017,-1,-1.83697e-16,1,0,0.587785,-0.809017,1.22465e-16,-1,1,0,-0.587785,0.809017,-0.5,0.866025,0,0,0.587785,0.809017,0.5,0.866025,0,0,0.951057,0.309017,0,1,1,0,0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,0.5,-0.866025,1,0,-0.587785,0.809017,0.5,0.866025,0,0,-0.587785,-0.809017,1.22465e-16,-1,3,0,4,0,0,3,7,0,8,0,0,6,1,1,6,1,1,8,2,11,10,11,10,5,5,0,4,0,0,3,5,0,4,0,0,3
7,2025-01-20 16:00:00+08:00,2025-01-20 16:00:00+08:00,0,19,47,25,2,23,12,6,5,22,94,94,17,1,1,0,0,1,0,1,0,0,291,0,2025,1,20,16,0,1,False,False,False,False,False,False,20,4,3,8,-0.951057,0.309017,-0.866025,-0.5,7,10,0,1,0.866025,-0.5,4,1,1.22465e-16,-1,-0.5,0.866025,0,3,0.951057,-0.309017,1,6.12323e-17,3,10,-0.951057,0.309017,0.866025,-0.5,7,10,0,1,0.866025,-0.5,4,10,1.22465e-16,-1,-1,-1.83697e-16,0,11,0.951057,-0.309017,-1,-1.83697e-16,1,0,0.587785,-0.809017,1.22465e-16,-1,1,0,-0.587785,0.809017,-0.5,0.866025,0,0,0.587785,0.809017,0.5,0.866025,0,0,0.951057,0.309017,0,1,1,0,0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,0.5,-0.866025,1,0,-0.587785,0.809017,0.5,0.866025,0,0,-0.587785,-0.809017,1.22465e-16,-1,3,0,4,0,0,3,7,0,8,0,0,6,1,1,6,1,1,8,2,11,10,11,10,5,5,0,4,0,0,3,5,0,4,0,0,3
8,2025-01-21 09:00:00+08:00,2025-01-21 09:00:00+08:00,0,47,32,17,7,23,12,6,5,49,63,94,17,1,1,0,0,1,0,1,0,0,206,0,2025,1,21,9,1,1,False,False,False,False,False,False,21,4,9,5,-0.951057,-0.309017,0.5,-0.866025,5,5,-0.587785,-0.809017,0.866025,0.5,2,11,0.587785,0.809017,-1,-1.83697e-16,1,4,0.951057,0.309017,0,1,3,10,-0.951057,0.309017,0.866025,-0.5,7,10,0,1,0.866025,-0.5,4,10,1.22465e-16,-1,-1,-1.83697e-16,0,11,0.951057,-0.309017,-1,-1.83697e-16,1,0,0.587785,-0.809017,1.22465e-16,-1,1,0,-0.587785,0.809017,-0.5,0.866025,0,0,0.587785,0.809017,0.5,0.866025,0,0,0.951057,0.309017,0,1,1,0,0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,0.5,-0.866025,1,0,-0.587785,0.809017,0.5,0.866025,0,0,-0.587785,-0.809017,1.22465e-16,-1,6,10,7,0,0,3,4,2,5,0,0,6,2,7,10,1,1,8,6,4,8,11,10,5,8,10,7,0,0,3,7,10,7,0,0,3
9,2025-01-21 10:00:00+08:00,2025-01-21 10:00:00+08:00,0,47,32,17,7,23,12,6,5,35,63,94,17,1,1,0,0,1,0,1,0,0,258,0,2025,1,21,10,1,1,False,False,False,False,False,False,21,4,9,5,-0.951057,-0.309017,0.5,-0.866025,5,5,-0.587785,-0.809017,0.866025,0.5,2,11,0.587785,0.809017,-1,-1.83697e-16,1,4,0.951057,0.309017,0,1,3,10,-0.951057,0.309017,0.866025,-0.5,7,10,0,1,0.866025,-0.5,4,10,1.22465e-16,-1,-1,-1.83697e-16,0,11,0.951057,-0.309017,-1,-1.83697e-16,1,0,0.587785,-0.809017,1.22465e-16,-1,1,0,-0.587785,0.809017,-0.5,0.866025,0,0,0.587785,0.809017,0.5,0.866025,0,0,0.951057,0.309017,0,1,1,0,0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,0.5,-0.866025,1,0,-0.587785,0.809017,0.5,0.866025,0,0,-0.587785,-0.809017,1.22465e-16,-1,6,10,7,0,0,3,4,2,5,0,0,6,2,7,10,1,1,8,6,4,8,11,10,5,8,10,7,0,0,3,7,10,7,0,0,3
