,time,date,stock_code_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code_y,uuid,last_modified_date,year,month,day,hour,dayofweek,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,dayofyear,weekofyear,current_hour_pillar_heavenly,current_hour_pillar_earthly,current_hour_pillar_heavenly_sin,current_hour_pillar_heavenly_cos,current_hour_pillar_earthly_sin,current_hour_pillar_earthly_cos,current_day_pillar_heavenly,current_day_pillar_earthly,current_day_pillar_heavenly_sin,current_day_pillar_heavenly_cos,current_day_pillar_earthly_sin,current_day_pillar_earthly_cos,current_day_pillar_minus_heavenly,current_day_pillar_minus_earthly,current_day_pillar_minus_heavenly_sin,current_day_pillar_minus_heavenly_cos,current_day_pillar_minus_earthly_sin,current_day_pillar_minus_earthly_cos,current_hour_pillar_minus_heavenly,current_hour_pillar_minus_earthly,current_hour_pillar_minus_heavenly_sin,current_hour_pillar_minus_heavenly_cos,current_hour_pillar_minus_earthly_sin,current_hour_pillar_minus_earthly_cos,current_month_pillar_heavenly,current_month_pillar_earthly,current_month_pillar_heavenly_sin,current_month_pillar_heavenly_cos,current_month_pillar_earthly_sin,current_month_pillar_earthly_cos,current_year_pillar_heavenly,current_year_pillar_earthly,current_year_pillar_heavenly_sin,current_year_pillar_heavenly_cos,current_year_pillar_earthly_sin,current_year_pillar_earthly_cos,current_year_pillar_minus_heavenly,current_year_pillar_minus_earthly,current_year_pillar_minus_heavenly_sin,current_year_pillar_minus_heavenly_cos,current_year_pillar_minus_earthly_sin,current_year_pillar_minus_earthly_cos,current_month_pillar_minus_heavenly,current_month_pillar_minus_earthly,current_month_pillar_minus_heavenly_sin,current_month_pillar_minus_heavenly_cos,current_month_pillar_minus_earthly_sin,current_month_pillar_minus_earthly_cos,base_year_pillar_heavenly,base_year_pillar_earthly,base_year_pillar_heavenly_sin,base_year_pillar_heavenly_cos,base_year_pillar_earthly_sin,base_year_pillar_earthly_cos,base_month_pillar_heavenly,base_month_pillar_earthly,base_month_pillar_heavenly_sin,base_month_pillar_heavenly_cos,base_month_pillar_earthly_sin,base_month_pillar_earthly_cos,base_day_pillar_heavenly,base_day_pillar_earthly,base_day_pillar_heavenly_sin,base_day_pillar_heavenly_cos,base_day_pillar_earthly_sin,base_day_pillar_earthly_cos,base_hour_pillar_heavenly,base_hour_pillar_earthly,base_hour_pillar_heavenly_sin,base_hour_pillar_heavenly_cos,base_hour_pillar_earthly_sin,base_hour_pillar_earthly_cos,base_month_pillar_minus_heavenly,base_month_pillar_minus_earthly,base_month_pillar_minus_heavenly_sin,base_month_pillar_minus_heavenly_cos,base_month_pillar_minus_earthly_sin,base_month_pillar_minus_earthly_cos,base_hour_pillar_minus_heavenly,base_hour_pillar_minus_earthly,base_hour_pillar_minus_heavenly_sin,base_hour_pillar_minus_heavenly_cos,base_hour_pillar_minus_earthly_sin,base_hour_pillar_minus_earthly_cos,base_year_pillar_minus_heavenly,base_year_pillar_minus_earthly,base_year_pillar_minus_heavenly_sin,base_year_pillar_minus_heavenly_cos,base_year_pillar_minus_earthly_sin,base_year_pillar_minus_earthly_cos,base_day_pillar_minus_heavenly,base_day_pillar_minus_earthly,base_day_pillar_minus_heavenly_sin,base_day_pillar_minus_heavenly_cos,base_day_pillar_minus_earthly_sin,base_day_pillar_minus_earthly_cos,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
0,2024-12-09 02:02:01.821863+08:00,2024-12-09 02:02:01.821863+08:00,HSI,辛丑,丁未,壬子,丙午,丙子,己未,甲寅,辛未,戊辰,丁午,丙子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,6390973477533534921,2025-06-03 18:02:18.513739+08:00,2024,12,9,2,0,4,False,False,False,False,False,False,344,50,辛,丑,-0.951057,-0.309017,0.5,0.866025,丁,未,0.951057,-0.309017,-0.5,-0.866025,壬,子,-0.951057,0.309017,0,1,丙,午,0.951057,0.309017,1.22465e-16,-1,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,養,衰,帝旺,胎,衰,衰,冠帶,墓庫,絕,臨官,墓庫,墓庫,養,衰,病,長生,衰,衰,衰,養,長生,病,養,養,墓庫,冠帶,臨官,絕,冠帶,冠帶,墓庫,冠帶,沐浴,死,冠帶,冠帶
1,2024-12-10 02:02:01.821863+08:00,2024-12-10 02:02:01.821863+08:00,HSI,癸丑,戊申,癸丑,戊午,丙子,己未,甲寅,辛未,庚辰,戊未,辛子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,5714712769803244611,2025-06-03 18:02:18.513739+08:00,2024,12,10,2,1,4,False,False,False,False,False,False,345,50,癸,丑,-0.587785,0.809017,0.5,0.866025,戊,申,0.587785,-0.809017,-0.866025,-0.5,癸,丑,-0.587785,0.809017,0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,養,病,帝旺,胎,衰,衰,冠帶,死,絕,臨官,墓庫,墓庫,養,帝旺,病,長生,衰,衰,衰,胎,長生,病,養,養,墓庫,沐浴,臨官,絕,冠帶,冠帶,墓庫,臨官,沐浴,死,冠帶,冠帶
2,2024-12-11 02:02:01.821863+08:00,2024-12-11 02:02:01.821863+08:00,HSI,乙丑,己酉,甲寅,庚午,丙子,己未,甲寅,辛未,壬辰,己申,辛子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,269778669234086502,2025-06-03 18:02:18.513739+08:00,2024,12,11,2,2,4,False,False,False,False,False,False,346,50,乙,丑,0.587785,0.809017,0.5,0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,甲,寅,0,1,0.866025,0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,養,死,帝旺,胎,衰,衰,冠帶,病,絕,臨官,墓庫,墓庫,養,臨官,病,長生,衰,衰,衰,絕,長生,病,養,養,墓庫,長生,臨官,絕,冠帶,冠帶,墓庫,帝旺,沐浴,死,冠帶,冠帶
3,2024-12-12 02:02:01.821863+08:00,2024-12-12 02:02:01.821863+08:00,HSI,丁丑,庚戌,乙卯,壬午,丙子,己未,甲寅,辛未,甲辰,庚酉,辛子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,14668653692947613397,2025-06-03 18:02:18.513739+08:00,2024,12,12,2,3,4,False,False,False,False,False,False,347,50,丁,丑,0.951057,-0.309017,0.5,0.866025,庚,戌,-0.587785,-0.809017,-0.866025,0.5,乙,卯,0.587785,0.809017,1,6.12323e-17,壬,午,-0.951057,0.309017,1.22465e-16,-1,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,養,墓庫,帝旺,胎,衰,衰,冠帶,衰,絕,臨官,墓庫,墓庫,養,冠帶,病,長生,衰,衰,衰,墓庫,長生,病,養,養,墓庫,養,臨官,絕,冠帶,冠帶,墓庫,衰,沐浴,死,冠帶,冠帶
4,2024-12-13 02:02:01.821863+08:00,2024-12-13 02:02:01.821863+08:00,HSI,己丑,辛亥,丙辰,甲午,丙子,己未,甲寅,辛未,丙辰,辛戌,壬子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,2100383508892922257,2025-06-03 18:02:18.513739+08:00,2024,12,13,2,4,4,False,False,False,False,False,False,348,50,己,丑,1.22465e-16,-1,0.5,0.866025,辛,亥,-0.951057,-0.309017,-0.5,0.866025,丙,辰,0.951057,0.309017,0.866025,-0.5,甲,午,0,1,1.22465e-16,-1,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,養,絕,帝旺,胎,衰,衰,冠帶,帝旺,絕,臨官,墓庫,墓庫,養,沐浴,病,長生,衰,衰,衰,死,長生,病,養,養,墓庫,胎,臨官,絕,冠帶,冠帶,墓庫,病,沐浴,死,冠帶,冠帶
5,2024-12-16 02:02:01.821863+08:00,2024-12-16 02:02:01.821863+08:00,HSI,乙丑,甲寅,己未,庚午,丙子,己未,甲寅,辛未,壬辰,甲丑,丁子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,6712963331336408703,2025-06-03 18:02:18.513739+08:00,2024,12,16,2,0,4,False,False,False,False,False,False,351,51,乙,丑,0.587785,0.809017,0.5,0.866025,甲,寅,0,1,0.866025,0.5,己,未,1.22465e-16,-1,-0.5,-0.866025,庚,午,-0.587785,-0.809017,1.22465e-16,-1,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,養,長生,帝旺,胎,衰,衰,冠帶,沐浴,絕,臨官,墓庫,墓庫,養,胎,病,長生,衰,衰,衰,帝旺,長生,病,養,養,墓庫,死,臨官,絕,冠帶,冠帶,墓庫,絕,沐浴,死,冠帶,冠帶
6,2024-12-17 02:02:01.821863+08:00,2024-12-17 02:02:01.821863+08:00,HSI,丁丑,乙卯,庚申,壬午,丙子,己未,甲寅,辛未,甲辰,乙寅,丁子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,16165647285528092829,2025-06-03 18:02:18.513739+08:00,2024,12,17,2,1,4,False,False,False,False,False,False,352,51,丁,丑,0.951057,-0.309017,0.5,0.866025,乙,卯,0.587785,0.809017,1,6.12323e-17,庚,申,-0.587785,-0.809017,-0.866025,-0.5,壬,午,-0.951057,0.309017,1.22465e-16,-1,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,養,沐浴,帝旺,胎,衰,衰,冠帶,長生,絕,臨官,墓庫,墓庫,養,絕,病,長生,衰,衰,衰,臨官,長生,病,養,養,墓庫,病,臨官,絕,冠帶,冠帶,墓庫,胎,沐浴,死,冠帶,冠帶
7,2024-12-18 02:02:01.821863+08:00,2024-12-18 02:02:01.821863+08:00,HSI,己丑,丙辰,辛酉,甲午,丙子,己未,甲寅,辛未,丙辰,丙卯,丁子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,9444037980621904777,2025-06-03 18:02:18.513739+08:00,2024,12,18,2,2,4,False,False,False,False,False,False,353,51,己,丑,1.22465e-16,-1,0.5,0.866025,丙,辰,0.951057,0.309017,0.866025,-0.5,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,午,0,1,1.22465e-16,-1,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,養,冠帶,帝旺,胎,衰,衰,冠帶,養,絕,臨官,墓庫,墓庫,養,墓庫,病,長生,衰,衰,衰,冠帶,長生,病,養,養,墓庫,衰,臨官,絕,冠帶,冠帶,墓庫,養,沐浴,死,冠帶,冠帶
8,2024-12-19 02:02:01.821863+08:00,2024-12-19 02:02:01.821863+08:00,HSI,辛丑,丁巳,壬戌,丙午,丙子,己未,甲寅,辛未,戊辰,丁辰,戊子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,8846456213926724532,2025-06-03 18:02:18.513739+08:00,2024,12,19,2,3,4,False,False,False,False,False,False,354,51,辛,丑,-0.951057,-0.309017,0.5,0.866025,丁,巳,0.951057,-0.309017,0.5,-0.866025,壬,戌,-0.951057,0.309017,-0.866025,0.5,丙,午,0.951057,0.309017,1.22465e-16,-1,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,養,臨官,帝旺,胎,衰,衰,冠帶,胎,絕,臨官,墓庫,墓庫,養,死,病,長生,衰,衰,衰,沐浴,長生,病,養,養,墓庫,帝旺,臨官,絕,冠帶,冠帶,墓庫,長生,沐浴,死,冠帶,冠帶
9,2024-12-20 02:02:01.821863+08:00,2024-12-20 02:02:01.821863+08:00,HSI,癸丑,戊午,癸亥,戊午,丙子,己未,甲寅,辛未,庚辰,戊巳,戊子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,15591732800644650145,2025-06-03 18:02:18.513739+08:00,2024,12,20,2,4,4,False,False,False,False,False,False,355,51,癸,丑,-0.587785,0.809017,0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,養,帝旺,帝旺,胎,衰,衰,冠帶,絕,絕,臨官,墓庫,墓庫,養,病,病,長生,衰,衰,衰,長生,長生,病,養,養,墓庫,臨官,臨官,絕,冠帶,冠帶,墓庫,沐浴,沐浴,死,冠帶,冠帶
