,time,date,stock_code_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code_y,uuid,last_modified_date,year,month,day,hour,dayofweek,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,dayofyear,weekofyear,current_hour_pillar_heavenly,current_hour_pillar_earthly,current_hour_pillar_heavenly_sin,current_hour_pillar_heavenly_cos,current_hour_pillar_earthly_sin,current_hour_pillar_earthly_cos,current_day_pillar_heavenly,current_day_pillar_earthly,current_day_pillar_heavenly_sin,current_day_pillar_heavenly_cos,current_day_pillar_earthly_sin,current_day_pillar_earthly_cos,current_day_pillar_minus_heavenly,current_day_pillar_minus_earthly,current_day_pillar_minus_heavenly_sin,current_day_pillar_minus_heavenly_cos,current_day_pillar_minus_earthly_sin,current_day_pillar_minus_earthly_cos,current_hour_pillar_minus_heavenly,current_hour_pillar_minus_earthly,current_hour_pillar_minus_heavenly_sin,current_hour_pillar_minus_heavenly_cos,current_hour_pillar_minus_earthly_sin,current_hour_pillar_minus_earthly_cos,current_month_pillar_heavenly,current_month_pillar_earthly,current_month_pillar_heavenly_sin,current_month_pillar_heavenly_cos,current_month_pillar_earthly_sin,current_month_pillar_earthly_cos,current_year_pillar_heavenly,current_year_pillar_earthly,current_year_pillar_heavenly_sin,current_year_pillar_heavenly_cos,current_year_pillar_earthly_sin,current_year_pillar_earthly_cos,current_year_pillar_minus_heavenly,current_year_pillar_minus_earthly,current_year_pillar_minus_heavenly_sin,current_year_pillar_minus_heavenly_cos,current_year_pillar_minus_earthly_sin,current_year_pillar_minus_earthly_cos,current_month_pillar_minus_heavenly,current_month_pillar_minus_earthly,current_month_pillar_minus_heavenly_sin,current_month_pillar_minus_heavenly_cos,current_month_pillar_minus_earthly_sin,current_month_pillar_minus_earthly_cos,base_year_pillar_heavenly,base_year_pillar_earthly,base_year_pillar_heavenly_sin,base_year_pillar_heavenly_cos,base_year_pillar_earthly_sin,base_year_pillar_earthly_cos,base_month_pillar_heavenly,base_month_pillar_earthly,base_month_pillar_heavenly_sin,base_month_pillar_heavenly_cos,base_month_pillar_earthly_sin,base_month_pillar_earthly_cos,base_day_pillar_heavenly,base_day_pillar_earthly,base_day_pillar_heavenly_sin,base_day_pillar_heavenly_cos,base_day_pillar_earthly_sin,base_day_pillar_earthly_cos,base_hour_pillar_heavenly,base_hour_pillar_earthly,base_hour_pillar_heavenly_sin,base_hour_pillar_heavenly_cos,base_hour_pillar_earthly_sin,base_hour_pillar_earthly_cos,base_month_pillar_minus_heavenly,base_month_pillar_minus_earthly,base_month_pillar_minus_heavenly_sin,base_month_pillar_minus_heavenly_cos,base_month_pillar_minus_earthly_sin,base_month_pillar_minus_earthly_cos,base_hour_pillar_minus_heavenly,base_hour_pillar_minus_earthly,base_hour_pillar_minus_heavenly_sin,base_hour_pillar_minus_heavenly_cos,base_hour_pillar_minus_earthly_sin,base_hour_pillar_minus_earthly_cos,base_year_pillar_minus_heavenly,base_year_pillar_minus_earthly,base_year_pillar_minus_heavenly_sin,base_year_pillar_minus_heavenly_cos,base_year_pillar_minus_earthly_sin,base_year_pillar_minus_earthly_cos,base_day_pillar_minus_heavenly,base_day_pillar_minus_earthly,base_day_pillar_minus_heavenly_sin,base_day_pillar_minus_heavenly_cos,base_day_pillar_minus_earthly_sin,base_day_pillar_minus_earthly_cos,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
0,2025-06-16 09:05:25.283934+08:00,2025-06-16 09:05:25.283934+08:00,0,42,11,55,36,18,9,2,1,44,18,98,11,0,1,0,0,0,0,0,0,0,825,0,2025,6,16,9,0,2,False,False,False,False,False,False,167,25,8,5,-0.587785,0.809017,0.5,-0.866025,1,10,0.951057,0.309017,0.866025,-0.5,9,1,-0.951057,-0.309017,-0.5,0.866025,6,4,0.587785,-0.809017,0,1,3,2,-0.951057,0.309017,1.22465e-16,-1,5,9,-0.587785,-0.809017,-0.866025,-0.5,2,0,0.587785,0.809017,0.5,0.866025,0,1,0.951057,-0.309017,-0.5,0.866025,0,0,0.951057,-0.309017,-1,-1.83697e-16,1,1,-0.951057,0.309017,0.866025,0.5,0,0,0.587785,0.809017,-0.5,0.866025,0,0,0.951057,-0.309017,-0.5,0.866025,0,1,0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.951057,0.309017,0.866025,-0.5,0,0,-0.951057,0.309017,0.866025,-0.5,0,1,-0.587785,-0.809017,0.866025,-0.5,2,9,6,8,3,7,4,0,5,10,5,3,5,1,2,7,8,8,5,1,2,7,10,8,2,9,6,8,4,7,2,9,6,8,4,7
1,2025-06-16 10:05:25.283934+08:00,2025-06-16 10:05:25.283934+08:00,0,42,11,55,36,18,9,2,1,30,18,98,11,0,1,0,0,0,0,0,0,0,1245,0,2025,6,16,10,0,2,False,False,False,False,False,False,167,25,8,5,-0.587785,0.809017,0.5,-0.866025,1,10,0.951057,0.309017,0.866025,-0.5,9,1,-0.951057,-0.309017,-0.5,0.866025,6,4,0.587785,-0.809017,0,1,3,2,-0.951057,0.309017,1.22465e-16,-1,5,9,-0.587785,-0.809017,-0.866025,-0.5,2,0,0.587785,0.809017,0.5,0.866025,0,1,0.951057,-0.309017,-0.5,0.866025,0,0,0.951057,-0.309017,-1,-1.83697e-16,1,1,-0.951057,0.309017,0.866025,0.5,0,0,0.587785,0.809017,-0.5,0.866025,0,0,0.951057,-0.309017,-0.5,0.866025,0,1,0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.951057,0.309017,0.866025,-0.5,0,0,-0.951057,0.309017,0.866025,-0.5,0,1,-0.587785,-0.809017,0.866025,-0.5,2,9,6,8,3,7,4,0,5,10,5,3,5,1,2,7,8,8,5,1,2,7,10,8,2,9,6,8,4,7,2,9,6,8,4,7
2,2025-06-16 11:05:25.283934+08:00,2025-06-16 11:05:25.283934+08:00,0,35,58,8,24,18,9,2,1,36,14,98,11,0,1,0,0,0,0,0,0,0,159,0,2025,6,16,11,0,2,False,False,False,False,False,False,167,25,7,2,0,1,1.22465e-16,-1,9,8,-0.951057,-0.309017,-0.5,-0.866025,1,5,0.951057,0.309017,0.866025,0.5,4,0,1.22465e-16,-1,0.5,0.866025,3,2,-0.951057,0.309017,1.22465e-16,-1,5,9,-0.587785,-0.809017,-0.866025,-0.5,2,0,0.587785,0.809017,0.5,0.866025,0,1,0.951057,-0.309017,-0.5,0.866025,0,0,0.951057,-0.309017,-1,-1.83697e-16,1,1,-0.951057,0.309017,0.866025,0.5,0,0,0.587785,0.809017,-0.5,0.866025,0,0,0.951057,-0.309017,-0.5,0.866025,0,1,0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.951057,0.309017,0.866025,-0.5,0,0,-0.951057,0.309017,0.866025,-0.5,0,1,-0.587785,-0.809017,0.866025,-0.5,8,0,1,8,3,7,10,11,9,10,5,3,6,11,9,7,8,8,6,11,9,7,10,8,7,0,1,8,4,7,7,0,1,8,4,7
3,2025-06-16 12:05:25.283934+08:00,2025-06-16 12:05:25.283934+08:00,0,35,58,8,24,18,9,2,1,51,110,98,11,0,1,0,0,0,0,0,0,0,844,0,2025,6,16,12,0,2,False,False,False,False,False,False,167,25,7,2,0,1,1.22465e-16,-1,9,8,-0.951057,-0.309017,-0.5,-0.866025,1,5,0.951057,0.309017,0.866025,0.5,4,0,1.22465e-16,-1,0.5,0.866025,3,2,-0.951057,0.309017,1.22465e-16,-1,5,9,-0.587785,-0.809017,-0.866025,-0.5,2,0,0.587785,0.809017,0.5,0.866025,0,1,0.951057,-0.309017,-0.5,0.866025,0,0,0.951057,-0.309017,-1,-1.83697e-16,1,1,-0.951057,0.309017,0.866025,0.5,0,0,0.587785,0.809017,-0.5,0.866025,0,0,0.951057,-0.309017,-0.5,0.866025,0,1,0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.951057,0.309017,0.866025,-0.5,0,0,-0.951057,0.309017,0.866025,-0.5,0,1,-0.587785,-0.809017,0.866025,-0.5,8,0,1,8,3,7,10,11,9,10,5,3,6,11,9,7,8,8,6,11,9,7,10,8,7,0,1,8,4,7,7,0,1,8,4,7
4,2025-06-16 13:05:25.283934+08:00,2025-06-16 13:05:25.283934+08:00,0,13,58,8,31,18,9,2,1,13,110,98,11,0,1,0,0,0,0,0,0,0,587,0,2025,6,16,13,0,2,False,False,False,False,False,False,167,25,2,7,0.587785,0.809017,-0.5,-0.866025,9,8,-0.951057,-0.309017,-0.5,-0.866025,1,5,0.951057,0.309017,0.866025,0.5,5,5,-0.587785,-0.809017,0.866025,0.5,3,2,-0.951057,0.309017,1.22465e-16,-1,5,9,-0.587785,-0.809017,-0.866025,-0.5,2,0,0.587785,0.809017,0.5,0.866025,0,1,0.951057,-0.309017,-0.5,0.866025,0,0,0.951057,-0.309017,-1,-1.83697e-16,1,1,-0.951057,0.309017,0.866025,0.5,0,0,0.587785,0.809017,-0.5,0.866025,0,0,0.951057,-0.309017,-0.5,0.866025,0,1,0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.951057,0.309017,0.866025,-0.5,0,0,-0.951057,0.309017,0.866025,-0.5,0,1,-0.587785,-0.809017,0.866025,-0.5,0,0,3,8,3,7,11,11,2,10,5,3,10,11,5,7,8,8,9,11,5,7,10,8,0,0,3,8,4,7,0,0,3,8,4,7
5,2025-06-16 14:05:25.283934+08:00,2025-06-16 14:05:25.283934+08:00,0,13,58,8,31,18,9,2,1,18,110,98,11,0,1,0,0,0,0,0,0,0,167,0,2025,6,16,14,0,2,False,False,False,False,False,False,167,25,2,7,0.587785,0.809017,-0.5,-0.866025,9,8,-0.951057,-0.309017,-0.5,-0.866025,1,5,0.951057,0.309017,0.866025,0.5,5,5,-0.587785,-0.809017,0.866025,0.5,3,2,-0.951057,0.309017,1.22465e-16,-1,5,9,-0.587785,-0.809017,-0.866025,-0.5,2,0,0.587785,0.809017,0.5,0.866025,0,1,0.951057,-0.309017,-0.5,0.866025,0,0,0.951057,-0.309017,-1,-1.83697e-16,1,1,-0.951057,0.309017,0.866025,0.5,0,0,0.587785,0.809017,-0.5,0.866025,0,0,0.951057,-0.309017,-0.5,0.866025,0,1,0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.951057,0.309017,0.866025,-0.5,0,0,-0.951057,0.309017,0.866025,-0.5,0,1,-0.587785,-0.809017,0.866025,-0.5,0,0,3,8,3,7,11,11,2,10,5,3,10,11,5,7,8,8,9,11,5,7,10,8,0,0,3,8,4,7,0,0,3,8,4,7
6,2025-06-16 15:05:25.283934+08:00,2025-06-16 15:05:25.283934+08:00,0,9,58,8,55,18,9,2,1,9,116,98,11,0,1,0,0,0,0,0,0,0,410,0,2025,6,16,15,0,2,False,False,False,False,False,False,167,25,1,8,0.951057,0.309017,-0.866025,-0.5,9,8,-0.951057,-0.309017,-0.5,-0.866025,1,5,0.951057,0.309017,0.866025,0.5,9,3,-0.951057,-0.309017,1,6.12323e-17,3,2,-0.951057,0.309017,1.22465e-16,-1,5,9,-0.587785,-0.809017,-0.866025,-0.5,2,0,0.587785,0.809017,0.5,0.866025,0,1,0.951057,-0.309017,-0.5,0.866025,0,0,0.951057,-0.309017,-1,-1.83697e-16,1,1,-0.951057,0.309017,0.866025,0.5,0,0,0.587785,0.809017,-0.5,0.866025,0,0,0.951057,-0.309017,-0.5,0.866025,0,1,0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.951057,0.309017,0.866025,-0.5,0,0,-0.951057,0.309017,0.866025,-0.5,0,1,-0.587785,-0.809017,0.866025,-0.5,4,0,5,8,3,7,7,11,8,10,5,3,9,11,3,7,8,8,8,11,3,7,10,8,4,0,5,8,4,7,4,0,5,8,4,7
7,2025-06-16 16:05:25.283934+08:00,2025-06-16 16:05:25.283934+08:00,0,9,58,8,55,18,9,2,1,43,116,98,11,0,1,0,0,0,0,0,0,0,1057,0,2025,6,16,16,0,2,False,False,False,False,False,False,167,25,1,8,0.951057,0.309017,-0.866025,-0.5,9,8,-0.951057,-0.309017,-0.5,-0.866025,1,5,0.951057,0.309017,0.866025,0.5,9,3,-0.951057,-0.309017,1,6.12323e-17,3,2,-0.951057,0.309017,1.22465e-16,-1,5,9,-0.587785,-0.809017,-0.866025,-0.5,2,0,0.587785,0.809017,0.5,0.866025,0,1,0.951057,-0.309017,-0.5,0.866025,0,0,0.951057,-0.309017,-1,-1.83697e-16,1,1,-0.951057,0.309017,0.866025,0.5,0,0,0.587785,0.809017,-0.5,0.866025,0,0,0.951057,-0.309017,-0.5,0.866025,0,1,0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.951057,0.309017,0.866025,-0.5,0,0,-0.951057,0.309017,0.866025,-0.5,0,1,-0.587785,-0.809017,0.866025,-0.5,4,0,5,8,3,7,7,11,8,10,5,3,9,11,3,7,8,8,8,11,3,7,10,8,4,0,5,8,4,7,4,0,5,8,4,7
8,2025-06-17 09:05:25.283934+08:00,2025-06-17 09:05:25.283934+08:00,0,12,3,19,30,18,9,2,1,12,2,98,11,0,1,0,0,0,0,0,0,0,1351,0,2025,6,17,9,1,2,False,False,False,False,False,False,168,25,2,5,0.587785,0.809017,0.5,-0.866025,0,6,0.951057,-0.309017,0.5,-0.866025,3,4,-0.951057,0.309017,0,1,5,4,-0.587785,-0.809017,0,1,3,2,-0.951057,0.309017,1.22465e-16,-1,5,9,-0.587785,-0.809017,-0.866025,-0.5,2,0,0.587785,0.809017,0.5,0.866025,0,1,0.951057,-0.309017,-0.5,0.866025,0,0,0.951057,-0.309017,-1,-1.83697e-16,1,1,-0.951057,0.309017,0.866025,0.5,0,0,0.587785,0.809017,-0.5,0.866025,0,0,0.951057,-0.309017,-0.5,0.866025,0,1,0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.951057,0.309017,0.866025,-0.5,0,0,-0.951057,0.309017,0.866025,-0.5,0,1,-0.587785,-0.809017,0.866025,-0.5,2,2,6,8,3,7,4,4,5,10,5,3,5,6,2,7,8,8,5,6,2,7,10,8,2,2,6,8,4,7,2,2,6,8,4,7
9,2025-06-17 10:05:25.283934+08:00,2025-06-17 10:05:25.283934+08:00,0,12,3,19,30,18,9,2,1,19,2,98,11,0,1,0,0,0,0,0,0,0,809,0,2025,6,17,10,1,2,False,False,False,False,False,False,168,25,2,5,0.587785,0.809017,0.5,-0.866025,0,6,0.951057,-0.309017,0.5,-0.866025,3,4,-0.951057,0.309017,0,1,5,4,-0.587785,-0.809017,0,1,3,2,-0.951057,0.309017,1.22465e-16,-1,5,9,-0.587785,-0.809017,-0.866025,-0.5,2,0,0.587785,0.809017,0.5,0.866025,0,1,0.951057,-0.309017,-0.5,0.866025,0,0,0.951057,-0.309017,-1,-1.83697e-16,1,1,-0.951057,0.309017,0.866025,0.5,0,0,0.587785,0.809017,-0.5,0.866025,0,0,0.951057,-0.309017,-0.5,0.866025,0,1,0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.951057,0.309017,0.866025,-0.5,0,0,-0.951057,0.309017,0.866025,-0.5,0,1,-0.587785,-0.809017,0.866025,-0.5,2,2,6,8,3,7,4,4,5,10,5,3,5,6,2,7,8,8,5,6,2,7,10,8,2,2,6,8,4,7,2,2,6,8,4,7
10,2025-06-17 11:05:25.283934+08:00,2025-06-17 11:05:25.283934+08:00,0,5,22,2,53,18,9,2,1,5,8,98,11,0,1,0,0,0,0,0,0,0,1157,0,2025,6,17,11,1,2,False,False,False,False,False,False,168,25,1,2,0.951057,0.309017,1.22465e-16,-1,3,9,-0.951057,0.309017,-0.866025,-0.5,0,3,0.951057,-0.309017,1,6.12323e-17,9,0,-0.951057,-0.309017,0.5,0.866025,3,2,-0.951057,0.309017,1.22465e-16,-1,5,9,-0.587785,-0.809017,-0.866025,-0.5,2,0,0.587785,0.809017,0.5,0.866025,0,1,0.951057,-0.309017,-0.5,0.866025,0,0,0.951057,-0.309017,-1,-1.83697e-16,1,1,-0.951057,0.309017,0.866025,0.5,0,0,0.587785,0.809017,-0.5,0.866025,0,0,0.951057,-0.309017,-0.5,0.866025,0,1,0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.951057,0.309017,0.866025,-0.5,0,0,-0.951057,0.309017,0.866025,-0.5,0,1,-0.587785,-0.809017,0.866025,-0.5,8,4,1,8,3,7,10,7,9,10,5,3,6,10,9,7,8,8,6,10,9,7,10,8,7,4,1,8,4,7,7,4,1,8,4,7
11,2025-06-17 12:05:25.283934+08:00,2025-06-17 12:05:25.283934+08:00,0,5,22,2,53,18,9,2,1,46,44,98,11,0,1,0,0,0,0,0,0,0,320,0,2025,6,17,12,1,2,False,False,False,False,False,False,168,25,1,2,0.951057,0.309017,1.22465e-16,-1,3,9,-0.951057,0.309017,-0.866025,-0.5,0,3,0.951057,-0.309017,1,6.12323e-17,9,0,-0.951057,-0.309017,0.5,0.866025,3,2,-0.951057,0.309017,1.22465e-16,-1,5,9,-0.587785,-0.809017,-0.866025,-0.5,2,0,0.587785,0.809017,0.5,0.866025,0,1,0.951057,-0.309017,-0.5,0.866025,0,0,0.951057,-0.309017,-1,-1.83697e-16,1,1,-0.951057,0.309017,0.866025,0.5,0,0,0.587785,0.809017,-0.5,0.866025,0,0,0.951057,-0.309017,-0.5,0.866025,0,1,0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.951057,0.309017,0.866025,-0.5,0,0,-0.951057,0.309017,0.866025,-0.5,0,1,-0.587785,-0.809017,0.866025,-0.5,8,4,1,8,3,7,10,7,9,10,5,3,6,10,9,7,8,8,6,10,9,7,10,8,7,4,1,8,4,7,7,4,1,8,4,7
12,2025-06-17 13:05:25.283934+08:00,2025-06-17 13:05:25.283934+08:00,0,3,22,2,20,18,9,2,1,3,44,98,11,0,1,0,0,0,0,0,0,0,1582,0,2025,6,17,13,1,2,False,False,False,False,False,False,168,25,0,7,0.951057,-0.309017,-0.5,-0.866025,3,9,-0.951057,0.309017,-0.866025,-0.5,0,3,0.951057,-0.309017,1,6.12323e-17,3,5,-0.951057,0.309017,0.866025,0.5,3,2,-0.951057,0.309017,1.22465e-16,-1,5,9,-0.587785,-0.809017,-0.866025,-0.5,2,0,0.587785,0.809017,0.5,0.866025,0,1,0.951057,-0.309017,-0.5,0.866025,0,0,0.951057,-0.309017,-1,-1.83697e-16,1,1,-0.951057,0.309017,0.866025,0.5,0,0,0.587785,0.809017,-0.5,0.866025,0,0,0.951057,-0.309017,-0.5,0.866025,0,1,0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.951057,0.309017,0.866025,-0.5,0,0,-0.951057,0.309017,0.866025,-0.5,0,1,-0.587785,-0.809017,0.866025,-0.5,0,4,3,8,3,7,11,7,2,10,5,3,10,10,5,7,8,8,9,10,5,7,10,8,0,4,3,8,4,7,0,4,3,8,4,7
13,2025-06-17 14:05:25.283934+08:00,2025-06-17 14:05:25.283934+08:00,0,3,22,2,20,18,9,2,1,39,44,98,11,0,1,0,0,0,0,0,0,0,324,0,2025,6,17,14,1,2,False,False,False,False,False,False,168,25,0,7,0.951057,-0.309017,-0.5,-0.866025,3,9,-0.951057,0.309017,-0.866025,-0.5,0,3,0.951057,-0.309017,1,6.12323e-17,3,5,-0.951057,0.309017,0.866025,0.5,3,2,-0.951057,0.309017,1.22465e-16,-1,5,9,-0.587785,-0.809017,-0.866025,-0.5,2,0,0.587785,0.809017,0.5,0.866025,0,1,0.951057,-0.309017,-0.5,0.866025,0,0,0.951057,-0.309017,-1,-1.83697e-16,1,1,-0.951057,0.309017,0.866025,0.5,0,0,0.587785,0.809017,-0.5,0.866025,0,0,0.951057,-0.309017,-0.5,0.866025,0,1,0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.951057,0.309017,0.866025,-0.5,0,0,-0.951057,0.309017,0.866025,-0.5,0,1,-0.587785,-0.809017,0.866025,-0.5,0,4,3,8,3,7,11,7,2,10,5,3,10,10,5,7,8,8,9,10,5,7,10,8,0,4,3,8,4,7,0,4,3,8,4,7
14,2025-06-17 15:05:25.283934+08:00,2025-06-17 15:05:25.283934+08:00,0,34,22,2,49,18,9,2,1,35,45,98,11,0,1,0,0,0,0,0,0,0,55,0,2025,6,17,15,1,2,False,False,False,False,False,False,168,25,6,8,0.587785,-0.809017,-0.866025,-0.5,3,9,-0.951057,0.309017,-0.866025,-0.5,0,3,0.951057,-0.309017,1,6.12323e-17,8,3,-0.587785,0.809017,1,6.12323e-17,3,2,-0.951057,0.309017,1.22465e-16,-1,5,9,-0.587785,-0.809017,-0.866025,-0.5,2,0,0.587785,0.809017,0.5,0.866025,0,1,0.951057,-0.309017,-0.5,0.866025,0,0,0.951057,-0.309017,-1,-1.83697e-16,1,1,-0.951057,0.309017,0.866025,0.5,0,0,0.587785,0.809017,-0.5,0.866025,0,0,0.951057,-0.309017,-0.5,0.866025,0,1,0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.951057,0.309017,0.866025,-0.5,0,0,-0.951057,0.309017,0.866025,-0.5,0,1,-0.587785,-0.809017,0.866025,-0.5,4,4,5,8,3,7,7,7,8,10,5,3,9,10,3,7,8,8,8,10,3,7,10,8,4,4,5,8,4,7,4,4,5,8,4,7
15,2025-06-17 16:05:25.283934+08:00,2025-06-17 16:05:25.283934+08:00,0,34,22,2,49,18,9,2,1,11,45,98,11,0,1,0,0,0,0,0,0,0,113,0,2025,6,17,16,1,2,False,False,False,False,False,False,168,25,6,8,0.587785,-0.809017,-0.866025,-0.5,3,9,-0.951057,0.309017,-0.866025,-0.5,0,3,0.951057,-0.309017,1,6.12323e-17,8,3,-0.587785,0.809017,1,6.12323e-17,3,2,-0.951057,0.309017,1.22465e-16,-1,5,9,-0.587785,-0.809017,-0.866025,-0.5,2,0,0.587785,0.809017,0.5,0.866025,0,1,0.951057,-0.309017,-0.5,0.866025,0,0,0.951057,-0.309017,-1,-1.83697e-16,1,1,-0.951057,0.309017,0.866025,0.5,0,0,0.587785,0.809017,-0.5,0.866025,0,0,0.951057,-0.309017,-0.5,0.866025,0,1,0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.951057,0.309017,0.866025,-0.5,0,0,-0.951057,0.309017,0.866025,-0.5,0,1,-0.587785,-0.809017,0.866025,-0.5,4,4,5,8,3,7,7,7,8,10,5,3,9,10,3,7,8,8,8,10,3,7,10,8,4,4,5,8,4,7,4,4,5,8,4,7
16,2025-06-18 09:05:25.283934+08:00,2025-06-18 09:05:25.283934+08:00,0,2,36,48,19,18,9,2,1,2,80,86,11,0,1,0,0,0,0,0,0,0,1341,0,2025,6,18,9,2,2,False,False,False,False,False,False,169,25,0,5,0.951057,-0.309017,0.5,-0.866025,6,2,0.587785,-0.809017,1.22465e-16,-1,8,0,-0.587785,0.809017,0.5,0.866025,3,4,-0.951057,0.309017,0,1,3,2,-0.951057,0.309017,1.22465e-16,-1,5,9,-0.587785,-0.809017,-0.866025,-0.5,2,0,0.587785,0.809017,0.5,0.866025,0,1,0.951057,-0.309017,-0.5,0.866025,0,0,0.951057,-0.309017,-1,-1.83697e-16,1,1,-0.951057,0.309017,0.866025,0.5,0,0,0.587785,0.809017,-0.5,0.866025,0,0,0.951057,-0.309017,-0.5,0.866025,0,1,0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.951057,0.309017,0.866025,-0.5,0,0,-0.951057,0.309017,0.866025,-0.5,0,1,-0.587785,-0.809017,0.866025,-0.5,2,8,6,8,3,7,4,10,5,10,5,3,5,7,2,7,8,8,5,7,2,7,10,8,2,8,6,8,4,7,2,8,6,8,4,7
17,2025-06-18 10:05:25.283934+08:00,2025-06-18 10:05:25.283934+08:00,0,2,36,48,19,18,9,2,1,40,80,86,11,0,1,0,0,0,0,0,0,0,298,0,2025,6,18,10,2,2,False,False,False,False,False,False,169,25,0,5,0.951057,-0.309017,0.5,-0.866025,6,2,0.587785,-0.809017,1.22465e-16,-1,8,0,-0.587785,0.809017,0.5,0.866025,3,4,-0.951057,0.309017,0,1,3,2,-0.951057,0.309017,1.22465e-16,-1,5,9,-0.587785,-0.809017,-0.866025,-0.5,2,0,0.587785,0.809017,0.5,0.866025,0,1,0.951057,-0.309017,-0.5,0.866025,0,0,0.951057,-0.309017,-1,-1.83697e-16,1,1,-0.951057,0.309017,0.866025,0.5,0,0,0.587785,0.809017,-0.5,0.866025,0,0,0.951057,-0.309017,-0.5,0.866025,0,1,0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.951057,0.309017,0.866025,-0.5,0,0,-0.951057,0.309017,0.866025,-0.5,0,1,-0.587785,-0.809017,0.866025,-0.5,2,8,6,8,3,7,4,10,5,10,5,3,5,7,2,7,8,8,5,7,2,7,10,8,2,8,6,8,4,7,2,8,6,8,4,7
18,2025-06-18 11:05:25.283934+08:00,2025-06-18 11:05:25.283934+08:00,0,30,53,41,47,18,9,2,1,31,81,86,11,0,1,0,0,0,0,0,0,0,446,0,2025,6,18,11,2,2,False,False,False,False,False,False,169,25,6,2,0.587785,-0.809017,1.22465e-16,-1,8,11,-0.587785,0.809017,-1,-1.83697e-16,6,10,0.587785,-0.809017,0.866025,-0.5,8,0,-0.587785,0.809017,0.5,0.866025,3,2,-0.951057,0.309017,1.22465e-16,-1,5,9,-0.587785,-0.809017,-0.866025,-0.5,2,0,0.587785,0.809017,0.5,0.866025,0,1,0.951057,-0.309017,-0.5,0.866025,0,0,0.951057,-0.309017,-1,-1.83697e-16,1,1,-0.951057,0.309017,0.866025,0.5,0,0,0.587785,0.809017,-0.5,0.866025,0,0,0.951057,-0.309017,-0.5,0.866025,0,1,0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.951057,0.309017,0.866025,-0.5,0,0,-0.951057,0.309017,0.866025,-0.5,0,1,-0.587785,-0.809017,0.866025,-0.5,8,10,1,8,3,7,10,6,9,10,5,3,6,4,9,7,8,8,6,4,9,7,10,8,7,10,1,8,4,7,7,10,1,8,4,7
