,time,date,stock_code_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code_y,uuid,last_modified_date,year,month,day,hour,dayofweek,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,dayofyear,weekofyear,current_hour_pillar_heavenly,current_hour_pillar_earthly,current_hour_pillar_heavenly_sin,current_hour_pillar_heavenly_cos,current_hour_pillar_earthly_sin,current_hour_pillar_earthly_cos,current_day_pillar_heavenly,current_day_pillar_earthly,current_day_pillar_heavenly_sin,current_day_pillar_heavenly_cos,current_day_pillar_earthly_sin,current_day_pillar_earthly_cos,current_day_pillar_minus_heavenly,current_day_pillar_minus_earthly,current_day_pillar_minus_heavenly_sin,current_day_pillar_minus_heavenly_cos,current_day_pillar_minus_earthly_sin,current_day_pillar_minus_earthly_cos,current_hour_pillar_minus_heavenly,current_hour_pillar_minus_earthly,current_hour_pillar_minus_heavenly_sin,current_hour_pillar_minus_heavenly_cos,current_hour_pillar_minus_earthly_sin,current_hour_pillar_minus_earthly_cos,current_month_pillar_heavenly,current_month_pillar_earthly,current_month_pillar_heavenly_sin,current_month_pillar_heavenly_cos,current_month_pillar_earthly_sin,current_month_pillar_earthly_cos,current_year_pillar_heavenly,current_year_pillar_earthly,current_year_pillar_heavenly_sin,current_year_pillar_heavenly_cos,current_year_pillar_earthly_sin,current_year_pillar_earthly_cos,current_year_pillar_minus_heavenly,current_year_pillar_minus_earthly,current_year_pillar_minus_heavenly_sin,current_year_pillar_minus_heavenly_cos,current_year_pillar_minus_earthly_sin,current_year_pillar_minus_earthly_cos,current_month_pillar_minus_heavenly,current_month_pillar_minus_earthly,current_month_pillar_minus_heavenly_sin,current_month_pillar_minus_heavenly_cos,current_month_pillar_minus_earthly_sin,current_month_pillar_minus_earthly_cos,base_year_pillar_heavenly,base_year_pillar_earthly,base_year_pillar_heavenly_sin,base_year_pillar_heavenly_cos,base_year_pillar_earthly_sin,base_year_pillar_earthly_cos,base_month_pillar_heavenly,base_month_pillar_earthly,base_month_pillar_heavenly_sin,base_month_pillar_heavenly_cos,base_month_pillar_earthly_sin,base_month_pillar_earthly_cos,base_day_pillar_heavenly,base_day_pillar_earthly,base_day_pillar_heavenly_sin,base_day_pillar_heavenly_cos,base_day_pillar_earthly_sin,base_day_pillar_earthly_cos,base_hour_pillar_heavenly,base_hour_pillar_earthly,base_hour_pillar_heavenly_sin,base_hour_pillar_heavenly_cos,base_hour_pillar_earthly_sin,base_hour_pillar_earthly_cos,base_month_pillar_minus_heavenly,base_month_pillar_minus_earthly,base_month_pillar_minus_heavenly_sin,base_month_pillar_minus_heavenly_cos,base_month_pillar_minus_earthly_sin,base_month_pillar_minus_earthly_cos,base_hour_pillar_minus_heavenly,base_hour_pillar_minus_earthly,base_hour_pillar_minus_heavenly_sin,base_hour_pillar_minus_heavenly_cos,base_hour_pillar_minus_earthly_sin,base_hour_pillar_minus_earthly_cos,base_year_pillar_minus_heavenly,base_year_pillar_minus_earthly,base_year_pillar_minus_heavenly_sin,base_year_pillar_minus_heavenly_cos,base_year_pillar_minus_earthly_sin,base_year_pillar_minus_earthly_cos,base_day_pillar_minus_heavenly,base_day_pillar_minus_earthly,base_day_pillar_minus_heavenly_sin,base_day_pillar_minus_heavenly_cos,base_day_pillar_minus_earthly_sin,base_day_pillar_minus_earthly_cos,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
0,2024-12-06 05:28:24.853174+08:00,2024-12-06 05:28:24.853174+08:00,HSI,丁卯,甲辰,己酉,壬申,庚寅,己未,甲寅,乙酉,丁卯,甲辰,甲寅,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,4291073277838918952,2025-06-02 21:28:32.911984+08:00,2024,12,6,5,4,4,False,False,False,False,False,False,341,49,丁,卯,0.951057,-0.309017,1,6.12323e-17,甲,辰,0,1,0.866025,-0.5,己,酉,1.22465e-16,-1,-1,-1.83697e-16,壬,申,-0.951057,0.309017,-0.866025,-0.5,庚,寅,-0.587785,-0.809017,0.866025,0.5,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,乙,酉,0.587785,0.809017,-1,-1.83697e-16,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,沐浴,冠帶,病,長生,衰,死,長生,養,死,沐浴,墓庫,病,絕,墓庫,帝旺,胎,衰,臨官,臨官,冠帶,胎,帝旺,養,絕,病,衰,沐浴,死,冠帶,長生,胎,養,臨官,絕,冠帶,帝旺
1,2024-12-09 05:28:24.853174+08:00,2024-12-09 05:28:24.853174+08:00,HSI,癸卯,丁未,壬子,戊申,丙子,己未,甲寅,辛未,癸卯,丁未,丙子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,11706611220531433936,2025-06-02 21:28:32.911984+08:00,2024,12,9,5,0,4,False,False,False,False,False,False,344,50,癸,卯,-0.587785,0.809017,1,6.12323e-17,丁,未,0.951057,-0.309017,-0.5,-0.866025,壬,子,-0.951057,0.309017,0,1,戊,申,0.587785,-0.809017,-0.866025,-0.5,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,沐浴,衰,病,胎,衰,衰,長生,墓庫,死,臨官,墓庫,墓庫,絕,衰,帝旺,長生,衰,衰,臨官,養,胎,病,養,養,病,冠帶,沐浴,絕,冠帶,冠帶,胎,冠帶,臨官,死,冠帶,冠帶
2,2024-12-10 05:28:24.853174+08:00,2024-12-10 05:28:24.853174+08:00,HSI,乙卯,戊申,癸丑,庚申,丙子,己未,甲寅,辛未,乙卯,戊申,辛子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,7852510867290017181,2025-06-02 21:28:32.911984+08:00,2024,12,10,5,1,4,False,False,False,False,False,False,345,50,乙,卯,0.587785,0.809017,1,6.12323e-17,戊,申,0.587785,-0.809017,-0.866025,-0.5,癸,丑,-0.587785,0.809017,0.5,0.866025,庚,申,-0.587785,-0.809017,-0.866025,-0.5,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,沐浴,病,病,胎,衰,衰,長生,死,死,臨官,墓庫,墓庫,絕,帝旺,帝旺,長生,衰,衰,臨官,胎,胎,病,養,養,病,沐浴,沐浴,絕,冠帶,冠帶,胎,臨官,臨官,死,冠帶,冠帶
3,2024-12-11 05:28:24.853174+08:00,2024-12-11 05:28:24.853174+08:00,HSI,丁卯,己酉,甲寅,壬申,丙子,己未,甲寅,辛未,丁卯,己酉,辛子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,18305648832083946182,2025-06-02 21:28:32.911984+08:00,2024,12,11,5,2,4,False,False,False,False,False,False,346,50,丁,卯,0.951057,-0.309017,1,6.12323e-17,己,酉,1.22465e-16,-1,-1,-1.83697e-16,甲,寅,0,1,0.866025,0.5,壬,申,-0.951057,0.309017,-0.866025,-0.5,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,沐浴,死,病,胎,衰,衰,長生,病,死,臨官,墓庫,墓庫,絕,臨官,帝旺,長生,衰,衰,臨官,絕,胎,病,養,養,病,長生,沐浴,絕,冠帶,冠帶,胎,帝旺,臨官,死,冠帶,冠帶
4,2024-12-12 05:28:24.853174+08:00,2024-12-12 05:28:24.853174+08:00,HSI,己卯,庚戌,乙卯,甲申,丙子,己未,甲寅,辛未,己卯,庚戌,辛子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,14128077863028036692,2025-06-02 21:28:32.911984+08:00,2024,12,12,5,3,4,False,False,False,False,False,False,347,50,己,卯,1.22465e-16,-1,1,6.12323e-17,庚,戌,-0.587785,-0.809017,-0.866025,0.5,乙,卯,0.587785,0.809017,1,6.12323e-17,甲,申,0,1,-0.866025,-0.5,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,沐浴,墓庫,病,胎,衰,衰,長生,衰,死,臨官,墓庫,墓庫,絕,冠帶,帝旺,長生,衰,衰,臨官,墓庫,胎,病,養,養,病,養,沐浴,絕,冠帶,冠帶,胎,衰,臨官,死,冠帶,冠帶
5,2024-12-13 05:28:24.853174+08:00,2024-12-13 05:28:24.853174+08:00,HSI,辛卯,辛亥,丙辰,丙申,丙子,己未,甲寅,辛未,辛卯,辛亥,壬子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,6865686428280950981,2025-06-02 21:28:32.911984+08:00,2024,12,13,5,4,4,False,False,False,False,False,False,348,50,辛,卯,-0.951057,-0.309017,1,6.12323e-17,辛,亥,-0.951057,-0.309017,-0.5,0.866025,丙,辰,0.951057,0.309017,0.866025,-0.5,丙,申,0.951057,0.309017,-0.866025,-0.5,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,沐浴,絕,病,胎,衰,衰,長生,帝旺,死,臨官,墓庫,墓庫,絕,沐浴,帝旺,長生,衰,衰,臨官,死,胎,病,養,養,病,胎,沐浴,絕,冠帶,冠帶,胎,病,臨官,死,冠帶,冠帶
6,2024-12-16 05:28:24.853174+08:00,2024-12-16 05:28:24.853174+08:00,HSI,丁卯,甲寅,己未,壬申,丙子,己未,甲寅,辛未,丁卯,甲寅,丁子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,2296860113663194259,2025-06-02 21:28:32.911984+08:00,2024,12,16,5,0,4,False,False,False,False,False,False,351,51,丁,卯,0.951057,-0.309017,1,6.12323e-17,甲,寅,0,1,0.866025,0.5,己,未,1.22465e-16,-1,-0.5,-0.866025,壬,申,-0.951057,0.309017,-0.866025,-0.5,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,沐浴,長生,病,胎,衰,衰,長生,沐浴,死,臨官,墓庫,墓庫,絕,胎,帝旺,長生,衰,衰,臨官,帝旺,胎,病,養,養,病,死,沐浴,絕,冠帶,冠帶,胎,絕,臨官,死,冠帶,冠帶
7,2024-12-17 05:28:24.853174+08:00,2024-12-17 05:28:24.853174+08:00,HSI,己卯,乙卯,庚申,甲申,丙子,己未,甲寅,辛未,己卯,乙卯,丁子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,18319613807147564063,2025-06-02 21:28:32.911984+08:00,2024,12,17,5,1,4,False,False,False,False,False,False,352,51,己,卯,1.22465e-16,-1,1,6.12323e-17,乙,卯,0.587785,0.809017,1,6.12323e-17,庚,申,-0.587785,-0.809017,-0.866025,-0.5,甲,申,0,1,-0.866025,-0.5,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,沐浴,沐浴,病,胎,衰,衰,長生,長生,死,臨官,墓庫,墓庫,絕,絕,帝旺,長生,衰,衰,臨官,臨官,胎,病,養,養,病,病,沐浴,絕,冠帶,冠帶,胎,胎,臨官,死,冠帶,冠帶
8,2024-12-18 05:28:24.853174+08:00,2024-12-18 05:28:24.853174+08:00,HSI,辛卯,丙辰,辛酉,丙申,丙子,己未,甲寅,辛未,辛卯,丙辰,丁子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,619219949987344884,2025-06-02 21:28:32.911984+08:00,2024,12,18,5,2,4,False,False,False,False,False,False,353,51,辛,卯,-0.951057,-0.309017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,丙,申,0.951057,0.309017,-0.866025,-0.5,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,沐浴,冠帶,病,胎,衰,衰,長生,養,死,臨官,墓庫,墓庫,絕,墓庫,帝旺,長生,衰,衰,臨官,冠帶,胎,病,養,養,病,衰,沐浴,絕,冠帶,冠帶,胎,養,臨官,死,冠帶,冠帶
9,2024-12-19 05:28:24.853174+08:00,2024-12-19 05:28:24.853174+08:00,HSI,癸卯,丁巳,壬戌,戊申,丙子,己未,甲寅,辛未,癸卯,丁巳,戊子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,17743021765513335935,2025-06-02 21:28:32.911984+08:00,2024,12,19,5,3,4,False,False,False,False,False,False,354,51,癸,卯,-0.587785,0.809017,1,6.12323e-17,丁,巳,0.951057,-0.309017,0.5,-0.866025,壬,戌,-0.951057,0.309017,-0.866025,0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,丙,子,0.951057,0.309017,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,沐浴,臨官,病,胎,衰,衰,長生,胎,死,臨官,墓庫,墓庫,絕,死,帝旺,長生,衰,衰,臨官,沐浴,胎,病,養,養,病,帝旺,沐浴,絕,冠帶,冠帶,胎,長生,臨官,死,冠帶,冠帶
