,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
0,6,2,7,11,2,2,4,10,5,9,10,10,2,5,10,11,5,5,6,6,8,0,6,6,8,2,7,11,2,2,7,2,7,11,2,2
1,6,2,7,11,2,2,4,10,5,9,10,10,2,5,10,11,5,5,6,6,8,0,6,6,8,2,7,11,2,2,7,2,7,11,2,2
2,1,3,11,11,2,2,10,6,9,9,10,10,4,8,11,11,5,5,5,5,0,0,6,6,2,3,11,11,2,2,2,3,11,11,2,2
3,1,3,11,11,2,2,10,6,9,9,10,10,4,8,11,11,5,5,5,5,0,0,6,6,2,3,11,11,2,2,2,3,11,11,2,2
4,7,3,10,11,2,2,11,6,2,9,10,10,7,8,7,11,5,5,0,5,4,0,6,6,9,3,10,11,2,2,8,3,10,11,2,2
5,7,3,10,11,2,2,11,6,2,9,10,10,7,8,7,11,5,5,0,5,4,0,6,6,9,3,10,11,2,2,8,3,10,11,2,2
6,3,3,4,11,2,2,7,6,8,9,10,10,1,8,6,11,5,5,2,5,10,0,6,6,5,3,4,11,2,2,5,3,4,11,2,2
7,3,3,4,11,2,2,7,6,8,9,10,10,1,8,6,11,5,5,2,5,10,0,6,6,5,3,4,11,2,2,5,3,4,11,2,2
8,6,3,1,0,4,6,4,6,1,0,8,3,2,8,0,1,6,4,6,5,9,11,10,2,8,3,1,0,4,6,7,3,1,0,4,6
9,6,3,1,0,4,6,4,6,1,0,8,3,2,8,0,1,6,4,6,5,9,11,10,2,8,3,1,0,4,6,7,3,1,0,4,6
10,1,7,6,0,4,6,10,5,3,0,8,3,4,10,4,1,6,4,5,8,2,11,10,2,2,7,6,0,4,6,2,7,6,0,4,6
11,1,7,6,0,4,6,10,5,3,0,8,3,4,10,4,1,6,4,5,8,2,11,10,2,2,7,6,0,4,6,2,7,6,0,4,6
12,7,7,7,0,4,6,11,5,5,0,8,3,7,10,10,1,6,4,0,8,8,11,10,2,9,7,7,0,4,6,8,7,7,0,4,6
13,7,7,7,0,4,6,11,5,5,0,8,3,7,10,10,1,6,4,0,8,8,11,10,2,9,7,7,0,4,6,8,7,7,0,4,6
14,3,7,11,0,4,6,7,5,9,0,8,3,1,10,11,1,6,4,2,8,0,11,10,2,5,7,11,0,4,6,5,7,11,0,4,6
15,3,7,11,0,4,6,7,5,9,0,8,3,1,10,11,1,6,4,2,8,0,11,10,2,5,7,11,0,4,6,5,7,11,0,4,6
16,6,1,1,0,4,6,4,1,1,0,8,3,2,0,0,1,6,4,6,9,9,11,10,2,8,1,1,0,4,6,7,1,1,0,4,6
17,6,1,1,0,4,6,4,1,1,0,8,3,2,0,0,1,6,4,6,9,9,11,10,2,8,1,1,0,4,6,7,1,1,0,4,6
18,1,11,6,0,4,6,10,9,3,0,8,3,4,11,4,1,6,4,5,0,2,11,10,2,2,11,6,0,4,6,2,11,6,0,4,6
19,1,11,6,0,4,6,10,9,3,0,8,3,4,11,4,1,6,4,5,0,2,11,10,2,2,11,6,0,4,6,2,11,6,0,4,6
20,7,11,7,0,4,6,11,9,5,0,8,3,7,11,10,1,6,4,0,0,8,11,10,2,9,11,7,0,4,6,8,11,7,0,4,6
21,7,11,7,0,4,6,11,9,5,0,8,3,7,11,10,1,6,4,0,0,8,11,10,2,9,11,7,0,4,6,8,11,7,0,4,6
22,3,11,11,0,4,6,7,9,9,0,8,3,1,11,11,1,6,4,2,0,0,11,10,2,5,11,11,0,4,6,5,11,11,0,4,6
23,3,11,11,0,4,6,7,9,9,0,8,3,1,11,11,1,6,4,2,0,0,11,10,2,5,11,11,0,4,6,5,11,11,0,4,6
