,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
7377,4,4,0,3,6,0,2,10,11,5,5,11,3,6,1,8,2,1,2,8,0,6,4,0,6,5,9,10,2,9,5,7,11,2,8,11
6384,7,6,10,11,0,2,1,2,4,0,9,6,7,4,7,11,1,5,9,3,2,9,0,10,0,7,3,1,8,8,0,5,6,1,9,4
3128,0,11,4,3,3,0,9,0,10,5,8,11,0,11,6,8,5,1,0,9,8,6,6,0,9,1,5,10,4,9,8,1,7,2,6,11
6377,2,1,0,11,0,2,5,9,11,0,9,6,6,0,1,11,1,5,5,1,0,9,0,10,8,11,9,1,8,8,2,9,11,1,9,4
2210,4,7,2,0,5,3,2,8,6,11,6,5,3,10,5,1,8,8,2,5,10,0,5,6,6,6,8,9,5,10,5,3,4,11,2,2
578,3,8,11,9,4,10,3,7,0,1,2,4,1,3,11,9,3,7,6,4,9,11,3,2,4,2,1,0,6,3,7,10,1,0,4,6
1511,1,6,11,7,8,8,6,2,0,8,3,7,4,4,11,10,6,3,8,3,9,5,2,4,7,7,1,6,3,2,4,5,1,3,5,10
8943,5,6,8,4,3,1,8,2,7,10,8,9,8,4,3,6,5,0,4,3,4,8,6,1,5,7,2,5,4,11,3,5,10,7,6,9
12011,2,10,10,5,7,4,5,4,4,3,1,10,6,7,7,2,7,6,5,2,2,7,9,8,8,3,3,4,0,5,2,6,6,8,0,7
3393,3,9,11,5,3,4,3,1,0,3,8,10,1,9,11,2,5,6,6,11,9,7,6,8,4,0,1,4,4,5,7,0,1,8,6,7
3323,3,9,11,1,3,8,3,1,0,9,8,7,1,9,11,0,5,3,6,11,9,1,6,4,4,0,1,11,4,2,7,0,1,9,6,10
414,2,9,10,4,4,1,5,1,4,10,2,9,6,9,7,6,3,0,5,11,2,8,3,1,8,0,3,5,6,11,2,0,6,7,4,9
11199,1,9,11,0,0,3,6,1,0,11,9,5,4,9,11,1,1,8,8,11,9,0,0,6,7,0,1,9,8,10,4,0,1,11,9,2
8514,6,6,1,4,6,1,7,2,9,10,5,9,2,4,0,6,2,0,3,3,1,8,4,1,2,7,11,5,2,11,9,5,9,7,8,9
5579,1,9,11,6,0,0,6,1,0,2,9,11,4,9,11,4,1,1,8,11,9,3,0,0,7,0,1,7,8,9,4,0,1,5,9,11
12223,6,10,1,7,7,9,7,4,9,8,1,1,2,7,0,10,7,9,3,2,1,5,9,11,2,3,11,6,0,0,9,6,9,3,0,0
426,6,2,1,2,4,11,7,6,9,6,2,0,2,5,0,5,3,11,3,10,1,10,3,9,2,8,11,8,6,1,9,4,9,4,4,1
621,4,7,0,9,4,10,2,8,11,1,2,4,3,10,1,9,3,7,2,5,0,11,3,2,6,6,9,0,6,3,5,3,11,0,4,6
2094,5,7,9,11,8,2,8,8,1,0,3,6,8,10,9,11,6,5,4,5,11,9,2,10,5,6,0,1,3,8,3,3,0,1,5,4
8139,4,3,0,11,6,5,2,5,11,0,5,3,3,8,1,11,2,2,2,6,0,9,4,7,6,10,9,1,2,4,5,2,11,1,8,8
2380,6,11,7,8,5,1,7,0,8,7,6,9,2,11,10,3,8,0,3,9,5,4,5,1,2,1,6,2,5,11,9,1,3,10,2,9
12312,1,5,6,1,7,8,6,3,2,9,1,7,4,2,4,0,7,3,8,7,3,1,9,4,7,4,7,11,0,2,4,8,5,9,0,10
2340,2,3,0,8,5,1,5,5,11,7,6,9,6,8,1,3,8,0,5,6,0,4,5,1,8,10,9,2,5,11,2,2,11,10,2,9
265,5,10,8,8,4,7,8,4,7,7,2,8,8,7,3,3,3,10,4,2,4,4,3,5,5,3,2,2,6,6,3,6,10,10,4,3
3013,2,0,10,2,3,11,5,11,4,6,8,0,6,1,7,5,5,11,5,0,2,10,6,9,8,9,3,8,4,1,2,11,6,4,6,1
10441,4,8,2,10,2,9,2,7,6,4,4,1,3,3,5,7,4,9,2,4,10,2,8,11,6,2,8,3,7,0,5,10,4,6,3,0
8861,0,10,4,4,3,1,9,4,10,10,8,9,0,7,6,6,5,0,0,2,8,8,6,1,9,3,5,5,4,11,8,6,7,7,6,9
7051,5,2,9,9,8,7,8,6,1,1,3,8,8,5,9,9,6,10,4,10,11,11,2,5,5,8,0,0,3,6,3,4,0,0,5,3
7589,4,10,0,1,6,8,2,4,11,9,5,7,3,7,1,0,2,3,2,2,0,1,4,4,6,3,9,11,2,2,5,6,11,9,8,10
7567,1,1,6,1,6,8,6,9,2,9,5,7,4,0,4,0,2,3,8,1,3,1,4,4,7,11,7,11,2,2,4,9,5,9,8,10
7464,2,2,10,9,6,10,5,6,4,1,5,4,6,5,7,9,2,7,5,10,2,11,4,2,8,8,3,0,2,3,2,4,6,0,8,6
9350,0,4,4,5,3,4,9,10,10,3,8,10,0,6,6,2,5,6,0,8,8,7,6,8,9,5,5,4,4,5,8,7,7,8,6,7
2088,1,10,11,11,8,2,6,4,0,0,3,6,4,7,11,11,6,5,8,2,9,9,2,10,7,3,1,1,3,8,4,6,1,1,5,4
12927,5,7,8,4,6,1,8,8,7,10,5,9,8,10,3,6,2,0,4,5,4,8,4,1,5,6,2,5,2,11,3,3,10,7,8,9
2142,7,1,10,11,8,2,1,9,4,0,3,6,7,0,7,11,6,5,9,1,2,9,2,10,0,11,3,1,3,8,0,9,6,1,5,4
13232,3,5,11,9,6,10,3,3,0,1,5,4,1,2,11,9,2,7,6,7,9,11,4,2,4,4,1,0,2,3,7,8,1,0,8,6
9745,2,5,0,1,2,4,5,3,11,9,4,10,6,2,1,0,4,6,5,7,0,1,8,8,8,4,9,11,7,5,2,8,11,9,3,7
3988,3,6,11,10,3,3,3,2,0,4,8,5,1,4,11,7,5,8,6,3,9,2,6,6,4,7,1,3,4,10,7,5,1,6,6,2
1082,7,7,10,1,8,4,1,8,4,9,3,10,7,10,7,0,6,6,9,5,2,1,2,8,0,6,3,11,3,5,0,3,6,9,5,7
1671,7,10,10,11,8,2,1,4,4,0,3,6,7,7,7,11,6,5,9,2,2,9,2,10,0,3,3,1,3,8,0,6,6,1,5,4
5117,3,10,4,2,0,6,3,4,10,6,9,2,1,7,6,5,1,4,6,2,8,10,0,3,4,3,5,8,8,7,7,6,7,4,9,5
5905,0,0,8,1,0,4,9,11,7,9,9,10,0,1,3,0,1,6,0,0,4,1,0,8,9,9,2,11,8,5,8,11,10,9,9,7
4083,1,10,6,7,3,9,6,4,2,8,8,1,4,7,4,10,5,9,8,2,3,5,6,11,7,3,7,6,4,0,4,6,5,3,6,0
6606,7,0,10,10,8,9,1,11,4,4,3,1,7,1,7,7,6,9,9,0,2,2,2,11,0,9,3,3,3,0,0,11,6,6,5,0
9202,7,11,7,9,3,10,1,0,8,1,8,4,7,11,10,9,5,7,9,9,5,11,6,2,0,1,6,0,4,3,0,1,3,0,6,6
1971,7,10,10,7,8,8,1,4,4,8,3,7,7,7,7,10,6,3,9,2,2,5,2,4,0,3,3,6,3,2,0,6,6,3,5,10
2608,6,4,7,0,5,3,7,10,8,11,6,5,2,6,10,1,8,8,3,8,5,0,5,6,2,5,6,9,5,10,9,7,3,11,2,2
7524,7,4,7,9,6,10,1,10,8,1,5,4,7,6,10,9,2,7,9,8,5,11,4,2,0,5,6,0,2,3,0,7,3,0,8,6
7645,6,5,1,5,6,4,7,3,9,3,5,10,2,2,0,2,2,6,3,7,1,7,4,8,2,4,11,4,2,5,9,8,9,8,8,7
3545,6,0,1,3,3,0,7,11,9,5,8,11,2,1,0,8,5,1,3,0,1,6,6,0,2,9,11,10,4,9,9,11,9,2,6,11
694,5,11,8,8,4,7,8,0,7,7,2,8,8,11,3,3,3,10,4,9,4,4,3,5,5,1,2,2,6,6,3,1,10,10,4,3
5246,7,7,10,3,0,10,1,8,4,5,9,4,7,10,7,8,1,7,9,5,2,6,0,2,0,6,3,10,8,3,0,3,6,2,9,6
11391,6,11,7,8,0,1,7,0,8,7,9,9,2,11,10,3,1,0,3,9,5,4,0,1,2,1,6,2,8,11,9,1,3,10,9,9
6189,5,1,9,10,0,9,8,9,1,4,9,1,8,0,9,7,1,9,4,1,11,2,0,11,5,11,0,3,8,0,3,9,0,6,9,0
3526,9,10,2,3,3,0,0,4,6,5,8,11,9,7,5,8,5,1,7,2,10,6,6,0,1,3,8,10,4,9,1,6,4,2,6,11
6641,7,1,10,8,8,1,1,9,4,7,3,9,7,0,7,3,6,0,9,1,2,4,2,1,0,11,3,2,3,11,0,9,6,10,5,9
10317,0,3,8,6,2,0,9,5,7,2,4,11,0,8,3,4,4,1,0,6,4,3,8,0,9,10,2,7,7,9,8,2,10,5,3,11
4194,2,1,10,4,3,1,5,9,4,10,8,9,6,0,7,6,5,0,5,1,2,8,6,1,8,11,3,5,4,11,2,9,6,7,6,9
8354,5,2,8,10,6,3,8,6,7,4,5,5,8,5,3,7,2,8,4,10,4,2,4,6,5,8,2,3,2,10,3,4,10,6,8,2
5324,1,10,11,9,0,7,6,4,0,1,9,8,4,7,11,9,1,10,8,2,9,11,0,5,7,3,1,0,8,6,4,6,1,0,9,3
4901,7,10,7,9,9,10,1,4,8,1,0,4,7,7,10,9,9,7,9,2,5,11,7,2,0,3,6,0,1,3,0,6,3,0,1,6
3938,4,4,0,6,3,2,2,10,11,2,8,6,3,6,1,4,5,5,2,8,0,3,6,10,6,5,9,7,4,8,5,7,11,5,6,4
4829,6,6,1,9,9,10,7,2,9,1,0,4,2,4,0,9,9,7,3,3,1,11,7,2,2,7,11,0,1,3,9,5,9,0,1,6
4832,3,10,11,9,9,10,3,4,0,1,0,4,1,7,11,9,9,7,6,2,9,11,7,2,4,3,1,0,1,3,7,6,1,0,1,6
10122,1,7,11,7,2,8,6,8,0,8,4,7,4,10,11,10,4,3,8,5,9,5,8,4,7,6,1,6,7,2,4,3,1,3,3,10
8370,0,1,4,7,6,9,9,9,10,8,5,1,0,0,6,10,2,9,0,1,8,5,4,11,9,11,5,6,2,0,8,9,7,3,8,0
8205,5,8,8,6,6,2,8,7,7,2,5,6,8,3,3,4,2,5,4,4,4,3,4,10,5,2,2,7,2,8,3,10,10,5,8,4
12894,1,6,6,8,6,7,6,2,2,7,5,8,4,4,4,3,2,10,8,3,3,4,4,5,7,7,7,2,2,6,4,5,5,10,8,3
8968,4,2,0,2,3,11,2,6,11,6,8,0,3,5,1,5,5,11,2,10,0,10,6,9,6,8,9,8,4,1,5,4,11,4,6,1
11160,4,6,2,2,0,6,2,2,6,6,9,2,3,4,5,5,1,4,2,3,10,10,0,3,6,7,8,8,8,7,5,5,4,4,9,5
4708,3,4,11,2,9,11,3,10,0,6,0,0,1,6,11,5,9,11,6,8,9,10,7,9,4,5,1,8,1,1,7,7,1,4,1,1
1463,4,10,2,7,8,8,2,4,6,8,3,7,3,7,5,10,6,3,2,2,10,5,2,4,6,3,8,6,3,2,5,6,4,3,5,10
7908,3,2,11,7,6,9,3,6,0,8,5,1,1,5,11,10,2,9,6,10,9,5,4,11,4,8,1,6,2,0,7,4,1,3,8,0
376,4,7,0,4,4,1,2,8,11,10,2,9,3,10,1,6,3,0,2,5,0,8,3,1,6,6,9,5,6,11,5,3,11,7,4,9
10801,4,9,0,0,3,6,2,1,11,11,8,2,3,9,1,1,5,4,2,11,0,0,6,3,6,0,9,9,4,7,5,0,11,11,6,5
10198,6,1,7,1,2,4,7,9,8,9,4,10,2,0,10,0,4,6,3,1,5,1,8,8,2,11,6,11,7,5,9,9,3,9,3,7
2216,2,4,0,0,5,3,5,10,11,11,6,5,6,6,1,1,8,8,5,8,0,0,5,6,8,5,9,9,5,10,2,7,11,11,2,2
3694,9,9,2,7,3,9,0,1,6,8,8,1,9,9,5,10,5,9,7,11,10,5,6,11,1,0,8,6,4,0,1,0,4,3,6,0
11672,6,4,1,2,7,11,7,10,9,6,1,0,2,6,0,5,7,11,3,8,1,10,9,9,2,5,11,8,0,1,9,7,9,4,0,1
10254,2,7,0,11,2,2,5,8,11,0,4,6,6,10,1,11,4,5,5,5,0,9,8,10,8,6,9,1,7,8,2,3,11,1,3,4
10266,5,6,9,11,2,2,8,2,1,0,4,6,8,4,9,11,4,5,4,3,11,9,8,10,5,7,0,1,7,8,3,5,0,1,3,4
7341,0,3,4,3,6,0,9,5,10,5,5,11,0,8,6,8,2,1,0,6,8,6,4,0,9,10,5,10,2,9,8,2,7,2,8,11
3080,6,7,1,3,3,0,7,8,9,5,8,11,2,10,0,8,5,1,3,5,1,6,6,0,2,6,11,10,4,9,9,3,9,2,6,11
12442,3,6,11,7,7,9,3,2,0,8,1,1,1,4,11,10,7,9,6,3,9,5,9,11,4,7,1,6,0,0,7,5,1,3,0,0
5376,6,9,7,9,0,7,7,1,8,1,9,8,2,9,10,9,1,10,3,11,5,11,0,5,2,0,6,0,8,6,9,0,3,0,9,3
5612,5,5,9,6,0,0,8,3,1,2,9,11,8,2,9,4,1,1,4,7,11,3,0,0,5,4,0,7,8,9,3,8,0,5,9,11
3378,0,4,4,5,3,4,9,10,10,3,8,10,0,6,6,2,5,6,0,8,8,7,6,8,9,5,5,4,4,5,8,7,7,8,6,7
2392,2,9,0,8,5,1,5,1,11,7,6,9,6,9,1,3,8,0,5,11,0,4,5,1,8,0,9,2,5,11,2,0,11,10,2,9
9605,0,3,8,9,2,7,9,5,7,1,4,8,0,8,3,9,4,10,0,6,4,11,8,5,9,10,2,0,7,6,8,2,10,0,3,3
2484,9,9,5,4,5,5,0,1,3,10,6,3,9,9,2,6,8,2,7,11,7,8,5,7,1,0,4,5,5,4,1,0,8,7,2,8
7624,4,5,0,5,6,4,2,3,11,3,5,10,3,2,1,2,2,6,2,7,0,7,4,8,6,4,9,4,2,5,5,8,11,8,8,7
7434,6,1,1,9,6,10,7,9,9,1,5,4,2,0,0,9,2,7,3,1,1,11,4,2,2,11,11,0,2,3,9,9,9,0,8,6
7251,3,9,11,2,6,11,3,1,0,6,5,0,1,9,11,5,2,11,6,11,9,10,4,9,4,0,1,8,2,1,7,0,1,4,8,1
2046,3,9,4,4,8,5,3,1,10,10,3,3,1,9,6,6,6,2,6,11,8,8,2,7,4,0,5,5,3,4,7,0,7,7,5,8
4202,1,4,6,4,3,1,6,10,2,10,8,9,4,6,4,6,5,0,8,8,3,8,6,1,7,5,7,5,4,11,4,7,5,7,6,9
1254,2,0,0,5,8,11,5,11,11,3,3,0,6,1,1,2,6,11,5,0,0,7,2,9,8,9,9,4,3,1,2,11,11,8,5,1
952,2,4,0,3,8,10,5,10,11,5,3,4,6,6,1,8,6,7,5,8,0,6,2,2,8,5,9,10,3,3,2,7,11,2,5,6
6130,1,0,11,10,0,9,6,11,0,4,9,1,4,1,11,7,1,9,8,0,9,2,0,11,7,9,1,3,8,0,4,11,1,6,9,0
12855,4,0,0,8,6,7,2,11,11,7,5,8,3,1,1,3,2,10,2,0,0,4,4,5,6,9,9,2,2,6,5,11,11,10,8,3
3312,1,2,6,1,3,8,6,6,2,9,8,7,4,5,4,0,5,3,8,10,3,1,6,4,7,8,7,11,4,2,4,4,5,9,6,10
13101,0,3,4,0,6,6,9,5,10,11,5,2,0,8,6,1,2,4,0,6,8,0,4,3,9,10,5,9,2,7,8,2,7,11,8,5
7281,5,1,8,2,6,11,8,9,7,6,5,0,8,0,3,5,2,11,4,1,4,10,4,9,5,11,2,8,2,1,3,9,10,4,8,1
11136,6,10,7,2,0,6,7,4,8,6,9,2,2,7,10,5,1,4,3,2,5,10,0,3,2,3,6,8,8,7,9,6,3,4,9,5
1718,0,3,8,11,8,2,9,5,7,0,3,6,0,8,3,11,6,5,0,6,4,9,2,10,9,10,2,1,3,8,8,2,10,1,5,4
4077,2,11,10,7,3,9,5,0,4,8,8,1,6,11,7,10,5,9,5,9,2,5,6,11,8,1,3,6,4,0,2,1,6,3,6,0
7458,5,4,8,9,6,10,8,10,7,1,5,4,8,6,3,9,2,7,4,8,4,11,4,2,5,5,2,0,2,3,3,7,10,0,8,6
12861,3,8,11,8,6,7,3,7,0,7,5,8,1,3,11,3,2,10,6,4,9,4,4,5,4,2,1,2,2,6,7,10,1,10,8,3
11559,3,10,4,5,0,11,3,4,10,3,9,0,1,7,6,2,1,11,6,2,8,7,0,9,4,3,5,4,8,1,7,6,7,8,9,1
3946,0,0,4,6,3,2,9,11,10,2,8,6,0,1,6,4,5,5,0,0,8,3,6,10,9,9,5,7,4,8,8,11,7,5,6,4
10772,3,10,11,0,3,6,3,4,0,11,8,2,1,7,11,1,5,4,6,2,9,0,6,3,4,3,1,9,4,7,7,6,1,11,6,5
9717,3,8,4,1,2,4,3,7,10,9,4,10,1,3,6,0,4,6,6,4,8,1,8,8,4,2,5,11,7,5,7,10,7,9,3,7
10126,0,7,8,7,2,8,9,8,7,8,4,7,0,10,3,10,4,3,0,5,4,5,8,4,9,6,2,6,7,2,8,3,10,3,3,10
7499,2,7,10,9,6,10,5,8,4,1,5,4,6,10,7,9,2,7,5,5,2,11,4,2,8,6,3,0,2,3,2,3,6,0,8,6
7393,2,8,10,3,6,0,5,7,4,5,5,11,6,3,7,8,2,1,5,4,2,6,4,0,8,2,3,10,2,9,2,10,6,2,8,11
2564,6,5,7,2,5,6,7,3,8,6,6,2,2,2,10,5,8,4,3,7,5,10,5,3,2,4,6,8,5,7,9,8,3,4,2,5
4301,3,2,11,11,3,5,3,6,0,0,8,3,1,5,11,11,5,2,6,10,9,9,6,7,4,8,1,1,4,4,7,4,1,1,6,8
6692,6,4,7,8,8,1,7,10,8,7,3,9,2,6,10,3,6,0,3,8,5,4,2,1,2,5,6,2,3,11,9,7,3,10,5,9
9490,2,11,0,2,2,6,5,0,11,6,4,2,6,11,1,5,4,4,5,9,0,10,8,3,8,1,9,8,7,7,2,1,11,4,3,5
1536,6,10,7,7,8,8,7,4,8,8,3,7,2,7,10,10,6,3,3,2,5,5,2,4,2,3,6,6,3,2,9,6,3,3,5,10
1056,7,9,10,9,8,7,1,1,4,1,3,8,7,9,7,9,6,10,9,11,2,11,2,5,0,0,3,0,3,6,0,0,6,0,5,3
1146,1,1,11,1,8,4,6,9,0,9,3,10,4,0,11,0,6,6,8,1,9,1,2,8,7,11,1,11,3,5,4,9,1,9,5,7
3646,2,1,10,7,3,9,5,9,4,8,8,1,6,0,7,10,5,9,5,1,2,5,6,11,8,11,3,6,4,0,2,9,6,3,6,0
1937,3,5,4,7,8,8,3,3,10,8,3,7,1,2,6,10,6,3,6,7,8,5,2,4,4,4,5,6,3,2,7,8,7,3,5,10
8280,3,5,11,10,6,3,3,3,0,4,5,5,1,2,11,7,2,8,6,7,9,2,4,6,4,4,1,3,2,10,7,8,1,6,8,2
1031,2,0,0,9,8,7,5,11,11,1,3,8,6,1,1,9,6,10,5,0,0,11,2,5,8,9,9,0,3,6,2,11,11,0,5,3
7765,1,9,6,6,6,2,6,1,2,2,5,6,4,9,4,4,2,5,8,11,3,3,4,10,7,0,7,7,2,8,4,0,5,5,8,4
3169,7,5,7,9,3,10,1,3,8,1,8,4,7,2,10,9,5,7,9,7,5,11,6,2,0,4,6,0,4,3,0,8,3,0,6,6
4618,1,11,6,4,9,1,6,0,2,10,0,9,4,11,4,6,9,0,8,9,3,8,7,1,7,1,7,5,1,11,4,1,5,7,1,9
6734,5,1,9,4,8,5,8,9,1,10,3,3,8,0,9,6,6,2,4,1,11,8,2,7,5,11,0,5,3,4,3,9,0,7,5,8
4693,0,6,4,2,9,11,9,2,10,6,0,0,0,4,6,5,9,11,0,3,8,10,7,9,9,7,5,8,1,1,8,5,7,4,1,1
9158,7,8,7,9,3,10,1,7,8,1,8,4,7,3,10,9,5,7,9,4,5,11,6,2,0,2,6,0,4,3,0,10,3,0,6,6
2543,0,2,8,2,5,6,9,6,7,6,6,2,0,5,3,5,8,4,0,10,4,10,5,3,9,8,2,8,5,7,8,4,10,4,2,5
96,6,4,1,11,9,5,7,10,9,0,0,3,2,6,0,11,9,2,3,8,1,9,7,7,2,5,11,1,1,4,9,7,9,1,1,8
2474,4,2,2,4,5,5,2,6,6,10,6,3,3,5,5,6,8,2,2,10,10,8,5,7,6,8,8,5,5,4,5,4,4,7,2,8
2684,0,5,8,9,5,7,9,3,7,1,6,8,0,2,3,9,8,10,0,7,4,11,5,5,9,4,2,0,5,6,8,8,10,0,2,3
2522,7,0,10,2,5,6,1,11,4,6,6,2,7,1,7,5,8,4,9,0,2,10,5,3,0,9,3,8,5,7,0,11,6,4,2,5
3635,7,3,7,7,3,9,1,5,8,8,8,1,7,8,10,10,5,9,9,6,5,5,6,11,0,10,6,6,4,0,0,2,3,3,6,0
6178,0,6,8,10,0,9,9,2,7,4,9,1,0,4,3,7,1,9,0,3,4,2,0,11,9,7,2,3,8,0,8,5,10,6,9,0
2239,6,4,7,10,5,9,7,10,8,4,6,1,2,6,10,7,8,9,3,8,5,2,5,11,2,5,6,3,5,0,9,7,3,6,2,0
12060,6,9,1,6,7,2,7,1,9,2,1,6,2,9,0,4,7,5,3,11,1,3,9,10,2,0,11,7,0,8,9,0,9,5,0,4
7073,3,10,4,8,8,1,3,4,10,7,3,9,1,7,6,3,6,0,6,2,8,4,2,1,4,3,5,2,3,11,7,6,7,10,5,9
11078,2,5,0,4,0,5,5,3,11,10,9,3,6,2,1,6,1,2,5,7,0,8,0,7,8,4,9,5,8,4,2,8,11,7,9,8
1042,4,8,2,9,8,7,2,7,6,1,3,8,3,3,5,9,6,10,2,4,10,11,2,5,6,2,8,0,3,6,5,10,4,0,5,3
2389,1,9,11,8,5,1,6,1,0,7,6,9,4,9,11,3,8,0,8,11,9,4,5,1,7,0,1,2,5,11,4,0,1,10,2,9
4156,2,10,10,4,3,1,5,4,4,10,8,9,6,7,7,6,5,0,5,2,2,8,6,1,8,3,3,5,4,11,2,6,6,7,6,9
8403,3,0,11,7,6,9,3,11,0,8,5,1,1,1,11,10,2,9,6,0,9,5,4,11,4,9,1,6,2,0,7,11,1,3,8,0
1592,3,11,4,1,8,4,3,0,10,9,3,10,1,11,6,0,6,6,6,9,8,1,2,8,4,1,5,11,3,5,7,1,7,9,5,7
2391,3,9,4,8,5,1,3,1,10,7,6,9,1,9,6,3,8,0,6,11,8,4,5,1,4,0,5,2,5,11,7,0,7,10,2,9
10845,4,10,0,10,3,3,2,4,11,4,8,5,3,7,1,7,5,8,2,2,0,2,6,6,6,3,9,3,4,10,5,6,11,6,6,2
4193,3,1,11,4,3,1,3,9,0,10,8,9,1,0,11,6,5,0,6,1,9,8,6,1,4,11,1,5,4,11,7,9,1,7,6,9
3574,3,7,11,3,3,0,3,8,0,5,8,11,1,10,11,8,5,1,6,5,9,6,6,0,4,6,1,10,4,9,7,3,1,2,6,11
9470,7,6,10,2,2,6,1,2,4,6,4,2,7,4,7,5,4,4,9,3,2,10,8,3,0,7,3,8,7,7,0,5,6,4,3,5
13007,9,11,2,2,6,11,0,0,6,6,5,0,9,11,5,5,2,11,7,9,10,10,4,9,1,1,8,8,2,1,1,1,4,4,8,1
2913,6,5,7,5,5,11,7,3,8,3,6,0,2,2,10,2,8,11,3,7,5,7,5,9,2,4,6,4,5,1,9,8,3,8,2,1
3467,1,2,6,6,3,2,6,6,2,2,8,6,4,5,4,4,5,5,8,10,3,3,6,10,7,8,7,7,4,8,4,4,5,5,6,4
13211,6,4,1,9,6,10,7,10,9,1,5,4,2,6,0,9,2,7,3,8,1,11,4,2,2,5,11,0,2,3,9,7,9,0,8,6
