,time,date,stock_code_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code_y,uuid,last_modified_date,year,month,day,hour,dayofweek,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,dayofyear,weekofyear,current_hour_pillar_heavenly,current_hour_pillar_earthly,current_hour_pillar_heavenly_sin,current_hour_pillar_heavenly_cos,current_hour_pillar_earthly_sin,current_hour_pillar_earthly_cos,current_day_pillar_heavenly,current_day_pillar_earthly,current_day_pillar_heavenly_sin,current_day_pillar_heavenly_cos,current_day_pillar_earthly_sin,current_day_pillar_earthly_cos,current_day_pillar_minus_heavenly,current_day_pillar_minus_earthly,current_day_pillar_minus_heavenly_sin,current_day_pillar_minus_heavenly_cos,current_day_pillar_minus_earthly_sin,current_day_pillar_minus_earthly_cos,current_hour_pillar_minus_heavenly,current_hour_pillar_minus_earthly,current_hour_pillar_minus_heavenly_sin,current_hour_pillar_minus_heavenly_cos,current_hour_pillar_minus_earthly_sin,current_hour_pillar_minus_earthly_cos,current_month_pillar_heavenly,current_month_pillar_earthly,current_month_pillar_heavenly_sin,current_month_pillar_heavenly_cos,current_month_pillar_earthly_sin,current_month_pillar_earthly_cos,current_year_pillar_heavenly,current_year_pillar_earthly,current_year_pillar_heavenly_sin,current_year_pillar_heavenly_cos,current_year_pillar_earthly_sin,current_year_pillar_earthly_cos,current_year_pillar_minus_heavenly,current_year_pillar_minus_earthly,current_year_pillar_minus_heavenly_sin,current_year_pillar_minus_heavenly_cos,current_year_pillar_minus_earthly_sin,current_year_pillar_minus_earthly_cos,current_month_pillar_minus_heavenly,current_month_pillar_minus_earthly,current_month_pillar_minus_heavenly_sin,current_month_pillar_minus_heavenly_cos,current_month_pillar_minus_earthly_sin,current_month_pillar_minus_earthly_cos,base_year_pillar_heavenly,base_year_pillar_earthly,base_year_pillar_heavenly_sin,base_year_pillar_heavenly_cos,base_year_pillar_earthly_sin,base_year_pillar_earthly_cos,base_month_pillar_heavenly,base_month_pillar_earthly,base_month_pillar_heavenly_sin,base_month_pillar_heavenly_cos,base_month_pillar_earthly_sin,base_month_pillar_earthly_cos,base_day_pillar_heavenly,base_day_pillar_earthly,base_day_pillar_heavenly_sin,base_day_pillar_heavenly_cos,base_day_pillar_earthly_sin,base_day_pillar_earthly_cos,base_hour_pillar_heavenly,base_hour_pillar_earthly,base_hour_pillar_heavenly_sin,base_hour_pillar_heavenly_cos,base_hour_pillar_earthly_sin,base_hour_pillar_earthly_cos,base_month_pillar_minus_heavenly,base_month_pillar_minus_earthly,base_month_pillar_minus_heavenly_sin,base_month_pillar_minus_heavenly_cos,base_month_pillar_minus_earthly_sin,base_month_pillar_minus_earthly_cos,base_hour_pillar_minus_heavenly,base_hour_pillar_minus_earthly,base_hour_pillar_minus_heavenly_sin,base_hour_pillar_minus_heavenly_cos,base_hour_pillar_minus_earthly_sin,base_hour_pillar_minus_earthly_cos,base_year_pillar_minus_heavenly,base_year_pillar_minus_earthly,base_year_pillar_minus_heavenly_sin,base_year_pillar_minus_heavenly_cos,base_year_pillar_minus_earthly_sin,base_year_pillar_minus_earthly_cos,base_day_pillar_minus_heavenly,base_day_pillar_minus_earthly,base_day_pillar_minus_heavenly_sin,base_day_pillar_minus_heavenly_cos,base_day_pillar_minus_earthly_sin,base_day_pillar_minus_earthly_cos,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
0,2025-01-01 09:00:00+08:00,2025-01-01 09:00:00+08:00,HSI,辛巳,庚午,乙亥,丙戌,辛卯,己未,甲寅,丙戌,辛巳,庚未,丙子,己卯,戊午,癸亥,乙丑,丙子,戊午,辛巳,癸丑,庚午,HSI,713441226557041888,2025-06-22 23:46:21.377821+08:00,2025,1,1,9,2,1,True,False,True,False,True,False,1,1,辛,巳,-0.951057,-0.309017,0.5,-0.866025,庚,午,-0.587785,-0.809017,1.22465e-16,-1,乙,亥,0.587785,0.809017,-0.5,0.866025,丙,戌,0.951057,0.309017,-0.866025,0.5,辛,卯,-0.951057,-0.309017,1,6.12323e-17,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,丙,戌,0.951057,0.309017,-0.866025,0.5,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,乙,丑,0.587785,0.809017,0.5,0.866025,丙,子,0.951057,0.309017,0,1,戊,午,0.587785,-0.809017,1.22465e-16,-1,辛,巳,-0.951057,-0.309017,0.5,-0.866025,癸,丑,-0.587785,0.809017,0.5,0.866025,庚,午,-0.587785,-0.809017,1.22465e-16,-1,臨官,帝旺,墓庫,沐浴,衰,墓庫,沐浴,長生,墓庫,臨官,養,墓庫,死,病,冠帶,絕,衰,冠帶,胎,絕,衰,長生,墓庫,衰,臨官,帝旺,墓庫,沐浴,衰,墓庫,臨官,帝旺,墓庫,沐浴,衰,墓庫
1,2025-01-01 10:00:00+08:00,2025-01-01 10:00:00+08:00,HSI,辛巳,庚午,乙亥,丙戌,辛卯,己未,甲寅,丙戌,戊申,庚未,丙子,己卯,戊午,癸亥,乙丑,丙子,戊午,辛巳,癸丑,庚午,HSI,3747402419467565286,2025-06-22 23:46:21.377821+08:00,2025,1,1,10,2,1,True,False,True,False,True,False,1,1,辛,巳,-0.951057,-0.309017,0.5,-0.866025,庚,午,-0.587785,-0.809017,1.22465e-16,-1,乙,亥,0.587785,0.809017,-0.5,0.866025,丙,戌,0.951057,0.309017,-0.866025,0.5,辛,卯,-0.951057,-0.309017,1,6.12323e-17,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,丙,戌,0.951057,0.309017,-0.866025,0.5,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,乙,丑,0.587785,0.809017,0.5,0.866025,丙,子,0.951057,0.309017,0,1,戊,午,0.587785,-0.809017,1.22465e-16,-1,辛,巳,-0.951057,-0.309017,0.5,-0.866025,癸,丑,-0.587785,0.809017,0.5,0.866025,庚,午,-0.587785,-0.809017,1.22465e-16,-1,臨官,帝旺,墓庫,沐浴,衰,墓庫,沐浴,長生,墓庫,臨官,養,墓庫,死,病,冠帶,絕,衰,冠帶,胎,絕,衰,長生,墓庫,衰,臨官,帝旺,墓庫,沐浴,衰,墓庫,臨官,帝旺,墓庫,沐浴,衰,墓庫
2,2025-01-01 11:00:00+08:00,2025-01-01 11:00:00+08:00,HSI,壬午,乙酉,庚寅,丁亥,辛卯,己未,甲寅,丙戌,壬午,庚申,丙子,己卯,戊午,癸亥,乙丑,丙子,戊午,辛巳,癸丑,庚午,HSI,1770984273074334832,2025-06-22 23:46:21.377821+08:00,2025,1,1,11,2,1,True,False,True,False,True,False,1,1,壬,午,-0.951057,0.309017,1.22465e-16,-1,乙,酉,0.587785,0.809017,-1,-1.83697e-16,庚,寅,-0.587785,-0.809017,0.866025,0.5,丁,亥,0.951057,-0.309017,-0.5,0.866025,辛,卯,-0.951057,-0.309017,1,6.12323e-17,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,丙,戌,0.951057,0.309017,-0.866025,0.5,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,乙,丑,0.587785,0.809017,0.5,0.866025,丙,子,0.951057,0.309017,0,1,戊,午,0.587785,-0.809017,1.22465e-16,-1,辛,巳,-0.951057,-0.309017,0.5,-0.866025,癸,丑,-0.587785,0.809017,0.5,0.866025,庚,午,-0.587785,-0.809017,1.22465e-16,-1,帝旺,死,絕,沐浴,衰,墓庫,長生,絕,死,臨官,養,墓庫,病,臨官,沐浴,絕,衰,冠帶,絕,病,帝旺,長生,墓庫,衰,帝旺,死,絕,沐浴,衰,墓庫,帝旺,死,絕,沐浴,衰,墓庫
3,2025-01-01 12:00:00+08:00,2025-01-01 12:00:00+08:00,HSI,壬午,乙酉,庚寅,丁亥,辛卯,己未,甲寅,丙戌,己酉,乙申,丙子,己卯,戊午,癸亥,乙丑,丙子,戊午,辛巳,癸丑,庚午,HSI,116605314280799581,2025-06-22 23:46:21.377821+08:00,2025,1,1,12,2,1,True,False,True,False,True,False,1,1,壬,午,-0.951057,0.309017,1.22465e-16,-1,乙,酉,0.587785,0.809017,-1,-1.83697e-16,庚,寅,-0.587785,-0.809017,0.866025,0.5,丁,亥,0.951057,-0.309017,-0.5,0.866025,辛,卯,-0.951057,-0.309017,1,6.12323e-17,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,丙,戌,0.951057,0.309017,-0.866025,0.5,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,乙,丑,0.587785,0.809017,0.5,0.866025,丙,子,0.951057,0.309017,0,1,戊,午,0.587785,-0.809017,1.22465e-16,-1,辛,巳,-0.951057,-0.309017,0.5,-0.866025,癸,丑,-0.587785,0.809017,0.5,0.866025,庚,午,-0.587785,-0.809017,1.22465e-16,-1,帝旺,死,絕,沐浴,衰,墓庫,長生,絕,死,臨官,養,墓庫,病,臨官,沐浴,絕,衰,冠帶,絕,病,帝旺,長生,墓庫,衰,帝旺,死,絕,沐浴,衰,墓庫,帝旺,死,絕,沐浴,衰,墓庫
4,2025-01-01 13:00:00+08:00,2025-01-01 13:00:00+08:00,HSI,癸未,乙酉,庚寅,戊子,辛卯,己未,甲寅,丙戌,癸未,乙申,丙子,己卯,戊午,癸亥,乙丑,丙子,戊午,辛巳,癸丑,庚午,HSI,4785490547409946475,2025-06-22 23:46:21.377821+08:00,2025,1,1,13,2,1,True,False,True,False,True,False,1,1,癸,未,-0.587785,0.809017,-0.5,-0.866025,乙,酉,0.587785,0.809017,-1,-1.83697e-16,庚,寅,-0.587785,-0.809017,0.866025,0.5,戊,子,0.587785,-0.809017,0,1,辛,卯,-0.951057,-0.309017,1,6.12323e-17,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,丙,戌,0.951057,0.309017,-0.866025,0.5,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,乙,丑,0.587785,0.809017,0.5,0.866025,丙,子,0.951057,0.309017,0,1,戊,午,0.587785,-0.809017,1.22465e-16,-1,辛,巳,-0.951057,-0.309017,0.5,-0.866025,癸,丑,-0.587785,0.809017,0.5,0.866025,庚,午,-0.587785,-0.809017,1.22465e-16,-1,衰,死,胎,沐浴,衰,墓庫,養,絕,病,臨官,養,墓庫,衰,臨官,長生,絕,衰,冠帶,墓庫,病,臨官,長生,墓庫,衰,衰,死,胎,沐浴,衰,墓庫,衰,死,胎,沐浴,衰,墓庫
5,2025-01-01 14:00:00+08:00,2025-01-01 14:00:00+08:00,HSI,癸未,乙酉,庚寅,戊子,辛卯,己未,甲寅,丙戌,庚戌,乙申,丙子,己卯,戊午,癸亥,乙丑,丙子,戊午,辛巳,癸丑,庚午,HSI,9383161202433172891,2025-06-22 23:46:21.377821+08:00,2025,1,1,14,2,1,True,False,True,False,True,False,1,1,癸,未,-0.587785,0.809017,-0.5,-0.866025,乙,酉,0.587785,0.809017,-1,-1.83697e-16,庚,寅,-0.587785,-0.809017,0.866025,0.5,戊,子,0.587785,-0.809017,0,1,辛,卯,-0.951057,-0.309017,1,6.12323e-17,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,丙,戌,0.951057,0.309017,-0.866025,0.5,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,乙,丑,0.587785,0.809017,0.5,0.866025,丙,子,0.951057,0.309017,0,1,戊,午,0.587785,-0.809017,1.22465e-16,-1,辛,巳,-0.951057,-0.309017,0.5,-0.866025,癸,丑,-0.587785,0.809017,0.5,0.866025,庚,午,-0.587785,-0.809017,1.22465e-16,-1,衰,死,胎,沐浴,衰,墓庫,養,絕,病,臨官,養,墓庫,衰,臨官,長生,絕,衰,冠帶,墓庫,病,臨官,長生,墓庫,衰,衰,死,胎,沐浴,衰,墓庫,衰,死,胎,沐浴,衰,墓庫
6,2025-01-01 15:00:00+08:00,2025-01-01 15:00:00+08:00,HSI,甲申,乙酉,庚寅,己丑,辛卯,己未,甲寅,丙戌,甲申,乙酉,丙子,己卯,戊午,癸亥,乙丑,丙子,戊午,辛巳,癸丑,庚午,HSI,3942245362192454868,2025-06-22 23:46:21.377821+08:00,2025,1,1,15,2,1,True,False,True,False,True,False,1,1,甲,申,0,1,-0.866025,-0.5,乙,酉,0.587785,0.809017,-1,-1.83697e-16,庚,寅,-0.587785,-0.809017,0.866025,0.5,己,丑,1.22465e-16,-1,0.5,0.866025,辛,卯,-0.951057,-0.309017,1,6.12323e-17,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,丙,戌,0.951057,0.309017,-0.866025,0.5,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,乙,丑,0.587785,0.809017,0.5,0.866025,丙,子,0.951057,0.309017,0,1,戊,午,0.587785,-0.809017,1.22465e-16,-1,辛,巳,-0.951057,-0.309017,0.5,-0.866025,癸,丑,-0.587785,0.809017,0.5,0.866025,庚,午,-0.587785,-0.809017,1.22465e-16,-1,病,死,養,沐浴,衰,墓庫,胎,絕,衰,臨官,養,墓庫,帝旺,臨官,養,絕,衰,冠帶,死,病,冠帶,長生,墓庫,衰,病,死,養,沐浴,衰,墓庫,病,死,養,沐浴,衰,墓庫
7,2025-01-01 16:00:00+08:00,2025-01-01 16:00:00+08:00,HSI,甲申,乙酉,庚寅,己丑,辛卯,己未,甲寅,丙戌,辛亥,乙酉,丙子,己卯,戊午,癸亥,乙丑,丙子,戊午,辛巳,癸丑,庚午,HSI,3873453211180109581,2025-06-22 23:46:21.377821+08:00,2025,1,1,16,2,1,True,False,True,False,True,False,1,1,甲,申,0,1,-0.866025,-0.5,乙,酉,0.587785,0.809017,-1,-1.83697e-16,庚,寅,-0.587785,-0.809017,0.866025,0.5,己,丑,1.22465e-16,-1,0.5,0.866025,辛,卯,-0.951057,-0.309017,1,6.12323e-17,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,丙,戌,0.951057,0.309017,-0.866025,0.5,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,乙,丑,0.587785,0.809017,0.5,0.866025,丙,子,0.951057,0.309017,0,1,戊,午,0.587785,-0.809017,1.22465e-16,-1,辛,巳,-0.951057,-0.309017,0.5,-0.866025,癸,丑,-0.587785,0.809017,0.5,0.866025,庚,午,-0.587785,-0.809017,1.22465e-16,-1,病,死,養,沐浴,衰,墓庫,胎,絕,衰,臨官,養,墓庫,帝旺,臨官,養,絕,衰,冠帶,死,病,冠帶,長生,墓庫,衰,病,死,養,沐浴,衰,墓庫,病,死,養,沐浴,衰,墓庫
8,2025-01-02 09:00:00+08:00,2025-01-02 09:00:00+08:00,HSI,癸巳,辛未,丙子,戊戌,辛卯,己未,甲寅,丙戌,癸巳,辛申,丙子,己卯,戊午,癸亥,乙丑,丙子,戊午,辛巳,癸丑,庚午,HSI,9184294688567104367,2025-06-22 23:46:21.377821+08:00,2025,1,2,9,3,1,False,False,False,False,False,False,2,1,癸,巳,-0.587785,0.809017,0.5,-0.866025,辛,未,-0.951057,-0.309017,-0.5,-0.866025,丙,子,0.951057,0.309017,0,1,戊,戌,0.587785,-0.809017,-0.866025,0.5,辛,卯,-0.951057,-0.309017,1,6.12323e-17,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,丙,戌,0.951057,0.309017,-0.866025,0.5,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,乙,丑,0.587785,0.809017,0.5,0.866025,丙,子,0.951057,0.309017,0,1,戊,午,0.587785,-0.809017,1.22465e-16,-1,辛,巳,-0.951057,-0.309017,0.5,-0.866025,癸,丑,-0.587785,0.809017,0.5,0.866025,庚,午,-0.587785,-0.809017,1.22465e-16,-1,臨官,衰,墓庫,沐浴,衰,墓庫,沐浴,養,墓庫,臨官,養,墓庫,死,衰,冠帶,絕,衰,冠帶,胎,墓庫,衰,長生,墓庫,衰,臨官,衰,墓庫,沐浴,衰,墓庫,臨官,衰,墓庫,沐浴,衰,墓庫
9,2025-01-02 10:00:00+08:00,2025-01-02 10:00:00+08:00,HSI,癸巳,辛未,丙子,戊戌,辛卯,己未,甲寅,丙戌,庚申,辛申,丙子,己卯,戊午,癸亥,乙丑,丙子,戊午,辛巳,癸丑,庚午,HSI,17718163621828528926,2025-06-22 23:46:21.377821+08:00,2025,1,2,10,3,1,False,False,False,False,False,False,2,1,癸,巳,-0.587785,0.809017,0.5,-0.866025,辛,未,-0.951057,-0.309017,-0.5,-0.866025,丙,子,0.951057,0.309017,0,1,戊,戌,0.587785,-0.809017,-0.866025,0.5,辛,卯,-0.951057,-0.309017,1,6.12323e-17,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,寅,0,1,0.866025,0.5,丙,戌,0.951057,0.309017,-0.866025,0.5,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,乙,丑,0.587785,0.809017,0.5,0.866025,丙,子,0.951057,0.309017,0,1,戊,午,0.587785,-0.809017,1.22465e-16,-1,辛,巳,-0.951057,-0.309017,0.5,-0.866025,癸,丑,-0.587785,0.809017,0.5,0.866025,庚,午,-0.587785,-0.809017,1.22465e-16,-1,臨官,衰,墓庫,沐浴,衰,墓庫,沐浴,養,墓庫,臨官,養,墓庫,死,衰,冠帶,絕,衰,冠帶,胎,墓庫,衰,長生,墓庫,衰,臨官,衰,墓庫,沐浴,衰,墓庫,臨官,衰,墓庫,沐浴,衰,墓庫
